taxon_name,family,native_status,source_details,name_resolution_and_type,references,reference_category,plant_growth_form_to_use,woodiness_to_use
Malephora crocea,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Mesembryanthemum aitonis,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Mesembryanthemum cordifolium,Aizoaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb shrub,herbaceous woody
Mesembryanthemum cordifolium x Mesembryanthemum haeckeliana,Aizoaceae,naturalised,APC_accepted,hybrid,species - Wikipedia,website - well referenced material,herb shrub,herbaceous woody
Mesembryanthemum crystallinum,Aizoaceae,naturalised,APC_accepted,binomial,species - WA,scraped from online flora,herb shrub,herbaceous woody
Mesembryanthemum granulicaule,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Mesembryanthemum guerichianum,Aizoaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous soft_woody
Mesembryanthemum nodiflorum,Aizoaceae,naturalised,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Ruschia geminiflora,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Ruschia macowanii,Aizoaceae,,taxon_in_flora_not_in_APC,binomial,species,scraped from online flora,herb,herbaceous
Sarcozona bicarinata,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Sarcozona praecox,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Sesuvium portulacastrum,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Sesuvium portulacastrum subsp. portulacastrum,Aizoaceae,native,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Tetragonia coronata,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tetragonia cristata,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tetragonia decumbens,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb subshrub,herbaceous semi_woody
Tetragonia diptera,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tetragonia eremaea,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tetragonia fruticosa,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tetragonia implexicoma,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Tetragonia microptera,Aizoaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous
Tetragonia microptera var. microptera,Aizoaceae,naturalised,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Tetragonia moorei,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tetragonia nigrescens,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tetragonia tetragonoides,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb subshrub,herbaceous semi_woody
Trianthema compactum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema cusackianum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema cypseleoides,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema glossostigmum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema kimberleyi,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema megaspermum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema oxycalyptrum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema oxycalyptrum var. oxycalyptrum,Aizoaceae,native,APC_accepted,variety,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema oxycalyptrum var. sessiliflorum,Aizoaceae,native,APC_accepted,variety,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema patellitectum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema pilosum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema portulacastrum,Aizoaceae,naturalised,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema rhynchocalyptrum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema sp. Coorabulka (R.W.Purdie 1404),Aizoaceae,native,APC_accepted,phrase_name,"genus - FoA, SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Trianthema sp. Python Pool (G.R.Guerin & M.E.Trudgen GG 1023),Aizoaceae,native,APC_accepted,phrase_name,"genus - FoA, SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Trianthema triquetrum,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Trianthema turgidifolium,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, SA, Vic",scraped from online flora,herb,herbaceous
Zaleya galericulata,Aizoaceae,native,APC_accepted,binomial,"genus - FoA, Vic",scraped from online flora,herb,herbaceous woody_base
Zaleya galericulata subsp. australis,Aizoaceae,native + naturalised,APC_accepted,subspecies,"genus - FoA, Vic",scraped from online flora,herb,herbaceous
Zaleya galericulata subsp. galericulata,Aizoaceae,native,APC_accepted,subspecies,"genus - FoA, Vic",scraped from online flora,herb,herbaceous
Akania bidwillii,Akaniaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Alisma lanceolatum,Alismataceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Alisma plantago-aquatica,Alismataceae,native + naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Astonia australiensis,Alismataceae,native,APC_accepted,binomial,genus,scraped from online flora,herb,herbaceous
Butomopsis latifolia,Alismataceae,native,APC_accepted,binomial,genus,scraped from online flora,herb,herbaceous
Caldesia acanthocarpa,Alismataceae,native,APC_accepted,binomial,genus,scraped from online flora,herb,herbaceous
Caldesia oligococca,Alismataceae,native,APC_accepted,binomial,genus,scraped from online flora,herb,herbaceous
Caldesia oligococca var. oligococca,Alismataceae,native,APC_accepted,variety,genus,scraped from online flora,herb,herbaceous
Caldesia parnassifolia,Alismataceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,herb,herbaceous
Damasonium minus,Alismataceae,native,APC_accepted,binomial,genus,scraped from online flora,herb,herbaceous
Echinodorus cordifolius,Alismataceae,naturalised,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,herb,herbaceous
Hydrocleys nymphoides,Alismataceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Limnocharis flava,Alismataceae,naturalised,APC_accepted,binomial,species - keyserver.lucidcentral.org/weeds/data/media/Html/limnocharis_flava.htm,inferred from online key,herb,herbaceous
Sagittaria brevirostra,Alismataceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Sagittaria calycina,Alismataceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Sagittaria calycina var. calycina,Alismataceae,naturalised,APC_accepted,variety,species,scraped from online flora,herb,herbaceous
Sagittaria macrophylla,Alismataceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Sagittaria platyphylla,Alismataceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium ampeloprasum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium cepa,Alliaceae,naturalised,APC_accepted,binomial,"family - FoA, Vic",scraped from online flora - applied family value to individual species,herb,herbaceous
Allium neapolitanum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium oleraceum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium orientale,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium paniculatum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium paniculatum subsp. paniculatum,Alliaceae,naturalised,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Allium porrum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium roseum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium scorodoprasum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium scorodoprasum subsp. rotundum,Alliaceae,naturalised,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Allium scorodoprasum subsp. scorodoprasum,Alliaceae,naturalised,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Allium triquetrum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Allium tuberosum,Alliaceae,naturalised,APC_accepted,binomial,"family - FoA, Vic",scraped from online flora - applied family value to individual species,herb,herbaceous
Allium vineale,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Ipheion uniflorum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Nothoscordum borbonicum,Alliaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Tulbaghia violacea,Alliaceae,naturalised,APC_accepted,binomial,"family - FoA, Vic",scraped from online flora - applied family value to individual species,herb,herbaceous
Crispiloba disperma,Alseuosmiaceae,native,APC_accepted,binomial,species - Lucid,scraped from online flora,shrub,woody
Wittsteinia vacciniacea,Alseuosmiaceae,native,APC_accepted,binomial,species - Vic,scraped from online flora,shrub,woody
Alstroemeria aurea,Alstroemeriaceae,naturalised,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Alstroemeria psittacina,Alstroemeriaceae,naturalised,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Achyranthes arborescens,Amaranthaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Achyranthes aspera,Amaranthaceae,native,APC_accepted,binomial,"species - FoA, Lucid, PlantNet",scraped from online flora,herb shrub,herbaceous woody
Achyranthes bidentata,Amaranthaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Achyranthes margaretarum,Amaranthaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,shrub,woody
Aerva javanica,Amaranthaceae,naturalised,APC_accepted,binomial,"species - FoA, PlantNet, SA",scraped from online flora,herb shrub,herbaceous woody
Aerva lanata,Amaranthaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous woody_base
Alternanthera angustifolia,Amaranthaceae,native,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera angustifolia var. lanata,Amaranthaceae,native,APC_accepted,variety,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Alternanthera bettzichiana,Amaranthaceae,naturalised,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Alternanthera brasiliana,Amaranthaceae,naturalised,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera brasiliana var. villosa,Amaranthaceae,naturalised,APC_accepted,variety,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera denticulata,Amaranthaceae,native,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera denticulata var. denticulata,Amaranthaceae,native,APC_accepted,variety,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Alternanthera denticulata var. micrantha,Amaranthaceae,native,APC_accepted,variety,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Alternanthera ficoidea,Amaranthaceae,native,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Alternanthera longipes,Amaranthaceae,,APNI_excluded,binomial,species,scraped from online flora,herb,herbaceous
Alternanthera nahui,Amaranthaceae,native,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Alternanthera nana,Amaranthaceae,native,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera nodiflora,Amaranthaceae,native,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera philoxeroides,Amaranthaceae,naturalised,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera pungens,Amaranthaceae,naturalised,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora,herb,herbaceous
Alternanthera sessilis,Amaranthaceae,naturalised,APC_accepted,binomial,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
Alternanthera sp. A Flora of New South Wales (M.Gray 5187),Amaranthaceae,native,APC_accepted,phrase_name,"genus - SA, Vic",scraped from online flora - applied genus value to individual species,herb,herbaceous
