Species,geology & topography,habitat,ecodistrict,plant_growth_form,Fire response,Post-fire recovery and flowering,Conservation Code,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Exocarpos sparteus,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Gastrolobium bilobum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSS,,,,,,,
Gastrolobium involutum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Gastrolobium parviflorum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Granitites intangendus,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Grevillea anethifolia,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Grevillea concinna subsp. lehamanniana,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Grevillea plurijuga subsp. superba,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Hakea bicornata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Hakea clavata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSC,,,,,,,
Hakea commutata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Hakea laurina,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSC,,,,,,,
Hakea preissii,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Keraudrenia sp..,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Labichea lanceolata subsp. brevifolia,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Lasiopetalum rosmarinifolium,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Leptospermum incanum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Lasiopetalum indutum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Leucopogon conostephioides,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Melaleuca bromelioides,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Melaleuca elliptica,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,RS/OSC,medium,,,,,,
Melaleuca eximia,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Melaleuca fulgens,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Melaleuca glaberimma,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSC,,,,,,,
Melaleuca podiocarpa,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Melaleuca glena,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Melaleuca eleuterostachya,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Micromyrtus elobata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Micromyrtus imbricata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Mirbelia microphylla,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Persoonia teretifolia,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Phebalium lepidotum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Petrophile fastigiata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Phyllanthus calycina,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Prostanthera carrickiana,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Santalum acuminatum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSS,,,,,,,
Thryptomene australis,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSC,,,,,,,
Borya constricta,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Borya sp..,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Cyanicula deformis,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Caladenia discoidea,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Pterostylis sanguinea,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Diuris affin pulchella,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Pterostylis recurva,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Eriochilus scaber,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,herb,,,,,,,,
Corymbia calophylla,Wandoo woodland,Woodland,Northwest Mosaic,tree,RS,,,,,,,
Eucalyptus marginata,Wandoo woodland,Woodland,Northwest Mosaic,tree,RSep,,,,,,,
Eucalyptus wandoo,Wandoo woodland,Woodland,Northwest Mosaic,tree,RS/ep/OSC,,,,,,,
Acacia spp Northwest Mosaic,Wandoo woodland,Woodland,Northwest Mosaic,shrub,,,,,,,,
Gastrolobium spinosum,Wandoo woodland,Woodland,Northwest Mosaic,shrub,OSS,rapid,,,,,,
Gastrolobium parviflorum,Wandoo woodland,Woodland,Northwest Mosaic,shrub,OSS,medium,,,,,,
Hakea lissocarpha,Wandoo woodland,Woodland,Northwest Mosaic,shrub,RS,,,,,,,
Thomasia foliosa,Wandoo woodland,Woodland,Northwest Mosaic,shrub,,,,,,,,
Eucalytpus occidentalis,Riverine and wetland woodland,Woodland,Northwest Mosaic,tree,RS ep/OSC,,,,,,,
Eucalytpus rudis,Riverine and wetland woodland,Woodland,Northwest Mosaic,tree,RS ep,,,,,,,
Eucalyptus decipiens,Riverine and wetland woodland,Woodland,Northwest Mosaic,tree,RS ep,,,,,,,
Melaleuca preissiana,Riverine and wetland woodland,Woodland,Northwest Mosaic,tree,RS ep/OSC,,,,,,,
Melaleuca rhaphiophylla,Riverine and wetland woodland,Woodland,Northwest Mosaic,tree,RS ep/OSC,,,,,,,
Banksia littoralis,Riverine and wetland woodland,Woodland,Northwest Mosaic,tree,RS ep,,,,,,,
Melaleuca viminea,Riverine and wetland woodland,Woodland,Northwest Mosaic,shrub,OSC,medium,,,,,,
Callistachys lanceolatum,Riverine and wetland woodland,Woodland,Northwest Mosaic,shrub,OSS,,,,,,,
Eucalyptus decipiens,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,mallee,RS,,,,,,,
Eucalyptus falcata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,mallee,RS,,,,,,,
Eucalyptus decipiens x Eucalyptus falcata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,mallee,RS,,,,,,,
Eucalyptus orthostemon,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,mallee,RS,,,,,,,
Adenanthos cygnorum,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSS,,,,,,,
Allocasuarina acuaria,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,,,,,,,,
Allocasuarina lehmanniana,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,,,,,,,
Banksia arctotidis,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia acuminata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia alliacea,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,,,,,,,
Banksia armata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia brunnea,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,medium,,,,,,
Banksia fraseri,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia attenuata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Bnaksia grandis,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia lepidorrhiza,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia meisnerii,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,medium,,,,,,
Banksia mucronulata sp. retrorsa,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,,,,,,,
Banksia nivea subsp. nivea,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,,,,,,,
Banksia pellaeifolia,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia porrecta,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,?RS,,,,,,,
Banksia sessilis,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,medium,,,,,,
Banksia sphaerocarpa subsp. sphaerocarpa,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Banksia tenuis,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,,,,,,,
Calothamnus gracilis,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Calothamnus huegelii,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,,,,,,,,
Calothamnus quadrifidus,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Calothamnus sanguineus,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Petrophile media,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,,,,,,,,
Petrophile serruriae,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,medium,,,,,,
Gastrolobium spinosum,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSS,rapid,,,,,,
Hakea cucullata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,medium to slow,,,,,,
Hakea trifurcata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,slow,,,,,,
Hakea undulata,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,rapid,,,,,,
Isopogon attentuatus,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Isopogon buxifolius,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,,,,,,,
Isopogon heterophyllus,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,?OSC,,,,,,,
Isopogon formosus,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,OSC,rapid to medium,,,,,,
Xanthorrhoea platyphylla,"E. falcata , E decipiens mallee shrubland",Mallee woodland/ shrubland,Northwest Mosaic,shrub,RS,,,,,,,
Eucalyptus astringens,Yilgarn West Brown mallet - Brown mallet woodlands with grassy understoreys in the Tambellup area,Mallet,Northwest Mosaic,mallet,OSC,,,,,,,
Eucalyptus garderni,Yilgarn West Brown mallet - Brown mallet woodlands with grassy understoreys in the Tambellup area,Mallet,Northwest Mosaic,mallet,OSC,,,,,,,
Allocasuarina decussata,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS ep,,,,,,,
Eucalyptus brevistylis,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS ep/OSC,,,,,,,
Eucalyptus diversicolor,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS ep/OSC,slow,,,,,,
Eucalyptus guilfoylei,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS ep/OSC,slow,,,,,,
Eucalyptus jacksonii,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS ep/OSC,slow,,,,,,
Hakea lasianthoides,Tingle,Open - Closed Forest,Forest Mosaic,tree,OSC,medium,,,,,,
Hakea oleifolia,Tingle,Open - Closed Forest,Forest Mosaic,tree,OSC,medium,,,,,,
Hibbertia furfuracea,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS,,,,,,,
Trymalium odaritissimum,Tingle,Open - Closed Forest,Forest Mosaic,tree,OSS,rapid,,,,,,
Acacia pentadenia,Tingle,Open - Closed Forest,Forest Mosaic,tree,OSS,medium to slow,,,,,,
Leucopogon verticillatus,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS,,,,,,,
Lepidosperma effusem,Tingle,Open - Closed Forest,Forest Mosaic,tree,RS,,,,,,,
Petrophile diversifolia,Tingle,Open - Closed Forest,Forest Mosaic,tree,OSC,medium,,,,,,
Eucalyptus diversicolor,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,tree,RS ep/OSC,slow,,,,,,
Allocasuarina decussata,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,tree,RS/ ep,,,,,,,
Corymbia calophylla,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,tree,RS/ ep,,,,,,,
Banksia seminuda,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,tree,OSC,medium to slow,,,,,,
Eucalyptus megacarpa,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,tree,RS ep/OSC,,,,,,,
Acacia browniana,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,OSS,rapid,,,,,,
Acacia pentadenia,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,OSS,medium to slow,,,,,,
Banksia grandis,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,RS,,,,,,,
Choralaena quercifolia,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,OSS,rapid,,,,,,
Hibbertia furfuracea,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,RS,,,,,,,
Leucopogon verticillatus,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,RS,,,,,,,
Paraserianthes lophantha,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,OSS,rapid,,,,,,
Persoonia longifolia,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,RS,,,,,,,
Trymalium odaritissimum,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,OSS,rapid,,,,,,
Lepidosperma effusem,Karri forest and relictual invertebrates,Open - Closed Forest,Forest Mosaic,shrub,RS,,,,,,,
