Ecosystem,species records,R+,S+,resp.type,Conserved R+,Conserved S+,Genus number,Genus,Family,Family number
Eucalypt Forest,Podocarpus_spinulosus,yes,X,X,Unknown,Unknown,434,Podocarpus,Podo,101
Eucalypt Forest,Podolepis_neglecta,X,X,X,Unknown,Unknown,435,Podolepis,Aste,13
Eucalypt Forest,Podolobium_aciculiferum,yes,X,X,Strongly Conserved,Strongly Conserved,436,Podolobium,Fabo,52
Heath,Podolobium_alpestre,yes,yes,Basal,Strongly Conserved,Strongly Conserved,436,Podolobium,Fabo,52
Eucalypt Forest,Podolobium_ilicifolium,yes,yes,Underground,Strongly Conserved,Strongly Conserved,436,Podolobium,Fabo,52
Eucalypt Forest,Podolobium_procumbens,X,X,X,Strongly Conserved,Strongly Conserved,436,Podolobium,Fabo,52
Eucalypt Forest,Podolobium_scandens,yes,X,X,Strongly Conserved,Strongly Conserved,436,Podolobium,Fabo,52
Rainforest,Polyalthia_australis,yes,no,X,Unknown,Unknown,437,Polyalthia,Anno,6
Eucalypt Forest,Polygala,X,X,X,Unknown,Unknown,438,Polygala,Poly,102
Eucalypt Forest,Polygala,X,X,X,Unknown,Unknown,438,Polygala,Poly,102
Rainforest,Polyosma_cunninghamii,yes,no,Basal,Unknown,Unknown,439,Polyosma,Esca,49
Eucalypt Forest,Polyscias_australiana,yes,yes,Basal,Strongly Conserved,Conserved,440,Polyscias,Aral,10
Eucalypt Forest,Polyscias_elegans,yes,yes,Basal,Strongly Conserved,Conserved,440,Polyscias,Aral,10
Rainforest,Polyscias_murrayi_,yes,no,Basal,Strongly Conserved,Conserved,440,Polyscias,Aral,10
Eucalypt Forest,Polyscias_sambucifolia,yes,no,Basal,Strongly Conserved,Conserved,440,Polyscias,Aral,10
Eucalypt Forest,Polyscias_sambucifolia_subsp._C,yes,X,X,Strongly Conserved,Conserved,440,Polyscias,Aral,10
Eucalypt Forest,Polyscias_sambucifolius_subsp._A,yes,no,Underground,Strongly Conserved,Conserved,440,Polyscias,Aral,10
Eucalypt Forest,Pomaderris_andromedifolia,yes,yes,Basal,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_andromedifolia_ssp_andromedifolia,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Rainforest,Pomaderris_apetala,no,no,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_aspera,yes,yes,Basal,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_betulina,yes,no,Basal,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_betulina_subsp._betulina,no,X,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_bodalla,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_brogoensis,yes,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_cinerea,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_costata,no,X,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_cotoneaster,no,X,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_discolor,no,yes,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_elliptica_subsp._elliptica,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_elliptica_var_elliptica,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_eriocephala,yes,yes,Basal,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_ferruginea,no,yes,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_intermedia,no,yes,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_lanigera,yes,no,Basal,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_ledifolia,no,X,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_ligustrina,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_ligustrina_subsp._ligustrina,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_pallida,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_phylicifolia_ssp_ericoides,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_phylicifolia_ssp_phylicifolia,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_prunifolia_var_prunifolia,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_queenslandica,yes,no,Basal,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_sp.,X,yes,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_species_C,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_spp.,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_spp.,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_subcapitata,no,yes,Killed,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_vellea_,yes,no,Basal,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomaderris_velutina,X,X,X,Conserved,Conserved,441,Pomaderris,Rham,107
Eucalypt Forest,Pomax_umbellata,no,X,Killed,Unknown,Unknown,442,Pomax,Rubi,112
Eucalypt Forest,Poranthera_corymbosa,no,X,Killed,Unknown,Conserved,443,Poranthera,Phyl,94
Eucalypt Forest,Poranthera_ericifolia,no,X,Killed,Unknown,Conserved,443,Poranthera,Phyl,94
Heath,Poranthera_huegelii,no,yes,Killed,Unknown,Conserved,443,Poranthera,Phyl,94
Savanna,Pouteria_arnhemica,yes,no,Epicormic,Strongly Conserved,Unknown,444,Pouteria,Sapo,117
Savanna,Pouteria_sericea,yes,yes,Basal,Strongly Conserved,Strongly Conserved,444,Pouteria,Sapo,117
Savanna,Premna_acuminata,yes,yes,Epicormic,Unknown,Strongly Conserved,445,Premna,Lami,63
Eucalypt Shrubland,Prostanthera_aspalathoides,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_cryptandroides_subsp._cryptandroides,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Heath,Prostanthera_cuneata,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_hindii,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_hirtula,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_howelliae,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_incana,no,X,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_incisa,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_lasianthos,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_linearis,no,X,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_nivea,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_nivea_var._nivea,no,X,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_ovalifolia,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_prunelloides,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_rhombea,no,X,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_rotundifolia,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_rugosa,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_saxicola,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Heath,Prostanthera_saxicola_var._major,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_scutellarioides,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Shrubland,Prostanthera_semiteres_subsp._semiteres,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Spinifex Grassland,Prostanthera_sericea,yes,no,Basal,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Shrubland,Prostanthera_serpyllifolia_subsp._microphylla,X,yes,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_sp._aff._howelliae,yes,yes,Basal,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_sp._indet._95/47,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_staurophylla,no,yes,Killed,Conserved,Conserved,446,Prostanthera,Lami,63
Spinifex Grassland,Prostanthera_striatiflora,yes,no,Basal,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_stricta,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Eucalypt Forest,Prostanthera_violacea,X,X,X,Conserved,Conserved,446,Prostanthera,Lami,63
Heath,Psammomoya_choretroides,X,X,X,Unknown,Unknown,447,Psammomoya,Cela,28
Eucalypt Forest,Pseudanthus_divaricatissimus,yes,X,X,Conserved,Strongly Conserved,448,Pseudanthus,Euph,50
Eucalypt Forest,Pseudanthus_ovalifolius,no,yes,Killed,Conserved,Strongly Conserved,448,Pseudanthus,Euph,50
Heath,Pseudanthus_pauciflorus_subsp._pauciflorus,no,yes,Killed,Conserved,Strongly Conserved,448,Pseudanthus,Euph,50
Eucalypt Forest,Pseudanthus_pimeleoides,yes,Yes,X,Conserved,Strongly Conserved,448,Pseudanthus,Euph,50
Rainforest,Psychotria_daphnoides_Large-leaved_Form,no,no,Killed,Conserved,Conserved,449,Psychotria,Rubi,112
Eucalypt Forest,Psychotria_loniceroides,yes,yes,Basal,Conserved,Conserved,449,Psychotria,Rubi,112
Rainforest,Psychotria_nesophila,yes,no,X,Conserved,Conserved,449,Psychotria,Rubi,112
Eucalypt Forest,Psychotria_sp._(Shute_Harbour_L.J.Webb+_7916),X,X,X,Conserved,Conserved,449,Psychotria,Rubi,112
Acacia Shrublands,Psydrax_attenuata,yes,yes,Basal,Conserved,Conserved,450,Psydrax,Rubi,112
Acacia Shrublands,Psydrax_johnsonii,X,X,X,Conserved,Conserved,450,Psydrax,Rubi,112
Acacia Shrublands,Psydrax_latifolia,no,no,Killed,Conserved,Conserved,450,Psydrax,Rubi,112
Acacia Shrublands,Psydrax_odorata,yes,no,Basal,Conserved,Conserved,450,Psydrax,Rubi,112
Acacia Shrublands,Psydrax_odorata_forma_buxifolia,yes,no,Basal,Conserved,Conserved,450,Psydrax,Rubi,112
Savanna,Psydrax_odoratum,yes,no,Basal,Conserved,Conserved,450,Psydrax,Rubi,112
Acacia Shrublands,Psydrax_oleifolia,X,X,X,Conserved,Conserved,450,Psydrax,Rubi,112
Savanna,Psydrax_sp.,yes,no,Epicormic,Conserved,Conserved,450,Psydrax,Rubi,112
Acacia Shrublands,Psydrax_suaveolens,yes,no,Basal,Conserved,Conserved,450,Psydrax,Rubi,112
Savanna,Psydrax_buxifolium,yes,no,X,Strongly Conserved,Unknown,450,Psydrax,Rubi,112
Savanna,Psydrax_oleifolium,yes,no,X,Strongly Conserved,Unknown,450,Psydrax,Rubi,112
Grassland,Pterocaulon_serrulatum_var._serrulatum,yes,yes,Basal,Unknown,Unknown,451,Pterocaulon,Aste,13
Eucalypt Shrubland,Ptilotus_exaltatus_var._villosus,no,yes,Killed,Unknown,Strongly Conserved,452,Ptilotus,Amar,4
Grassland,Ptilotus_macrocephalus,no,yes,Killed,Unknown,Strongly Conserved,452,Ptilotus,Amar,4
Grassland,Ptilotus_nobilis,no,yes,Killed,Unknown,Strongly Conserved,452,Ptilotus,Amar,4
Grassland,Ptilotus_obovatus,yes,yes,Basal,Unknown,Strongly Conserved,452,Ptilotus,Amar,4
Grassland,Ptilotus_spicatus,X,X,X,Unknown,Strongly Conserved,452,Ptilotus,Amar,4
Eucalypt Forest,Pultenaea_altissima,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Heath,Pultenaea_barbata,X,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_benthamii,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_blakelyi,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_campbellii_,yes,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_canescens,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_capitellata,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_cinerascens,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_cunninghamii,yes,yes,Basal,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_daphnoides,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_dentata,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_divaricata,yes,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_echinula,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Shrubland,Pultenaea_empetrifolia,X,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_ferruginea,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_ferruginea_var._ferruginea,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_flexilis,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_foliolosa,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_forsythiana,yes,yes,Basal,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Heath,Pultenaea_hispidula,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Heath,Pultenaea_indira_subsp._indira,X,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Shrubland,Pultenaea_indira_subsp._monstrosita,X,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_lapidosa,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_linophylla,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Savanna,Pultenaea_microphylla_,yes,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Heath,Pultenaea_mollis,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_paleacea,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_parrisiae_ssp_parrisiae,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_petiolaris_,yes,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Heath,Pultenaea_polifolia,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_procumbens,yes,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Shrubland,Pultenaea_purpurea,X,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_pycnocephala,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Heath,Pultenaea_reticulata,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_retusa,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_rosmarinifolia,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_scabra,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_scabra_var._scabra,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_sp.,yes,yes,Basal,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_sp.,yes,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_sp._C,yes,yes,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_spinosa,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_spp.,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_stipularis,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_stuartiana,yes,yes,Basal,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_subspicata,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_tarik,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Shrubland,Pultenaea_tenuifolia,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_tuberculata,no,yes,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_villifera,X,X,X,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_villifera_var._villifera,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_villosa,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Eucalypt Forest,Pultenaea_viscosa,no,X,Killed,Conserved,Strongly Conserved,453,Pultenaea,Fabo,52
Rainforest,Quintinia_sieberi,yes,no,Epicormic,Unknown,Unknown,454,Quintinia,Para,88
Rainforest,Quintinia_verdonii_,X,X,X,Unknown,Unknown,454,Quintinia,Para,88
Heath,Regelia_inops,no,yes,Killed,Unknown,Unknown,455,Regelia,Myrt,78
Eucalypt Forest,Rhagodia_candolleana_ssp_candolleana,X,X,X,Unknown,Conserved,456,Rhagodia,Chen,29
Eucalypt Shrubland,Rhagodia_drummondii,no,X,Killed,Unknown,Conserved,456,Rhagodia,Chen,29
Acacia Shrublands,Rhagodia_eremaea,no,no,Killed,Unknown,Conserved,456,Rhagodia,Chen,29
Savanna,Rhagodia_hastata,no,no,X,Unknown,Conserved,456,Rhagodia,Chen,29
Acacia Shrublands,Rhagodia_parabolica,no,yes,Killed,Unknown,Conserved,456,Rhagodia,Chen,29
Acacia Shrublands,Rhagodia_spinescens,yes,yes,Basal,Unknown,Conserved,456,Rhagodia,Chen,29
Rainforest,Rhodamnia_rubescens_,yes,no,Basal,Unknown,Unknown,457,Rhodamnia,Myrt,78
Heath,Rhodomyrtus_trineura,yes,no,Basal,Unknown,Unknown,458,Rhodomyrtus,Myrt,78
Acacia Shrublands,Rhyncharrhena_linearis,yes,no,Basal,Unknown,Unknown,459,Rhyncharrhena,Apoc,9
Heath,Rhytidosporum_alpinum,yes,no,Basal,Conserved,Conserved,460,Rhytidosporum,Pitt,98
Eucalypt Forest,Rhytidosporum_diosmoides,yes,yes,Underground,Conserved,Conserved,460,Rhytidosporum,Pitt,98
Eucalypt Forest,Rhytidosporum_procumbens,no,X,Killed,Conserved,Conserved,460,Rhytidosporum,Pitt,98
Eucalypt Forest,Rhytidosporum_prostratum,X,X,X,Conserved,Conserved,460,Rhytidosporum,Pitt,98
Eucalypt Forest,Ricinocarpos_bowmanii,X,X,X,Conserved,Conserved,461,Ricinocarpos,Euph,50
Spinifex Grassland,Ricinocarpos_gloria-medii,yes,no,Basal,Conserved,Conserved,461,Ricinocarpos,Euph,50
Eucalypt Forest,Ricinocarpos_pinifolius,yes,yes,Basal,Conserved,Conserved,461,Ricinocarpos,Euph,50
Eucalypt Forest,Ricinocarpos_speciosus,no,yes,Killed,Conserved,Conserved,461,Ricinocarpos,Euph,50
Heath,Rinzia_affinis,yes,yes,X,Conserved,Strongly Conserved,462,Rinzia,Myrt,78
Eucalypt Shrubland,Rinzia_communis,yes,yes,X,Conserved,Strongly Conserved,462,Rinzia,Myrt,78
Rainforest,Ripogonum_discolor__,yes,no,Basal,Unknown,Unknown,463,Ripogonum,Ripo,109
Eucalypt Forest,Ripogonum_fawcettianum,X,X,X,Unknown,Unknown,463,Ripogonum,Ripo,109
Eucalypt Forest,Rivina_humilis,X,X,X,Unknown,Unknown,464,Rivina,Phyt,95
Eucalypt Forest,Rostellularia_adscendens_subsp._adscendens,X,X,X,Unknown,Unknown,465,Rostellularia,Acan,1
Eucalypt Forest,Rubus_discolor,X,X,X,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_fruticosa_species_agg.,yes,no,Basal,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_fruticosus,yes,no,Basal,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_moluccanus_var._trilobus,yes,no,Underground,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Rainforest,Rubus_moluccanussubsp._moluccanus,yes,no,Basal,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Rainforest,Rubus_nebulosus,yes,no,Basal,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_parviflorus,yes,no,Basal,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_rosifolius,yes,no,Basal,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_rosifolius_var_rosifolius,X,X,X,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_sp.,yes,no,Basal,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_spp.,X,X,X,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rubus_ulmifolius,X,X,X,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Savanna,Rubus_vulgaris,yes,no,X,Strongly Conserved,Unknown,466,Rubus,Rosa,110
Eucalypt Forest,Rupicola_sprengelioides,X,X,X,Unknown,Unknown,467,Rupicola,Eric,47
Grassland,Salsola_australis,no,no,Killed,Unknown,Unknown,468,Salsola,Chen,29
Rainforest,Sambucus_australasica,no,no,Killed,Unknown,Unknown,469,Sambucus,Capr,26
Eucalypt Forest,Sambucus_gaudichaudiana,no,X,Killed,Unknown,Unknown,469,Sambucus,Capr,26
Eucalypt Forest,Sambucus_spp.,X,X,X,Unknown,Unknown,469,Sambucus,Capr,26
Eucalypt Shrubland,Santalum_acuminatum,no,yes,Killed,Conserved,Conserved,470,Santalum,Sant,115
Acacia Shrublands,Santalum_lanceolatum,yes,yes,Underground,Conserved,Conserved,470,Santalum,Sant,115
Savanna,Santalum_lanceolatum,yes,Yes,Basal,Conserved,Conserved,470,Santalum,Sant,115
Eucalypt Shrubland,Santalum_murrayanum,no,yes,Killed,Conserved,Conserved,470,Santalum,Sant,115
Rainforest,Santalum_obtusifolium,yes,no,X,Conserved,Conserved,470,Santalum,Sant,115
Rainforest,Sarcomelicope_simplicifolia,yes,no,Basal,Conserved,Unknown,471,Sarcomelicope,Ruta,113
Rainforest,Sarcopetalum_harveyanum,yes,no,Basal,Conserved,Unknown,472,Sarcopetalum,Meni,73
Rainforest,Sarcopteryx_stipata_,yes,no,X,Unknown,Unknown,473,Sarcopteryx,Sapi,116
Acacia Shrublands,Sarcostemma,X,X,X,Unknown,Conserved,474,Sarcostemma,Apoc,9
Eucalypt Forest,Sarcostemma_brunonianum,no,no,Killed,Unknown,Conserved,474,Sarcostemma,Apoc,9
Acacia Shrublands,Sarcostemma_viminale,no,yes,Killed,Unknown,Conserved,474,Sarcostemma,Apoc,9
Acacia Shrublands,Sarcostemma_viminale_subsp__australe,no,no,Killed,Unknown,Conserved,474,Sarcostemma,Apoc,9
Acacia Shrublands,Sarcostemma_viminale_subsp._brunonianum,no,yes,Killed,Unknown,Conserved,474,Sarcostemma,Apoc,9
Spinifex Grassland,Sauropus_ramosissimus,yes,X,Basal,Unknown,Conserved,475,Sauropus,Phyl,94
Heath,Sauropus_rigidulus,no,yes,Killed,Unknown,Conserved,475,Sauropus,Phyl,94
Heath,Scaevola_angulata,no,yes,Killed,Unknown,Strongly Conserved,476,Scaevola,Good,54
Heath,Scaevola_browniana,no,yes,Killed,Unknown,Strongly Conserved,476,Scaevola,Good,54
Eucalypt Forest,Scaevola_humilis,X,X,X,Unknown,Strongly Conserved,476,Scaevola,Good,54
Acacia Shrublands,Scaevola_spinescens,yes,yes,Basal,Unknown,Strongly Conserved,476,Scaevola,Good,54
Eucalypt Forest,Schinus_areira,X,X,X,Unknown,Unknown,477,Schinus,Anac,5
Eucalypt Forest,Schizaea_rupestris,X,X,X,Unknown,Unknown,478,Schizaea,Schi,118
Rainforest,Schizomeria_ovata_,yes,no,Basal,Unknown,Unknown,479,Schizomeria,Cuno,34
Heath,Scholtzia_involucrata,yes,yes,X,Unknown,Strongly Conserved,480,Scholtzia,Myrt,78
Heath,Scholtzia_sp.,yes,yes,X,Unknown,Strongly Conserved,480,Scholtzia,Myrt,78
Grassland,Sclerolaena,X,X,X,Unknown,Conserved,481,Sclerolaena,Chen,29
Grassland,Sclerolaena_anisacanthoides,no,no,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Grassland,Sclerolaena_bicornis,no,yes,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Acacia Shrublands,Sclerolaena_bicornis_var._horrida,no,yes,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Acacia Shrublands,Sclerolaena_birchii,no,yes,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Grassland,Sclerolaena_calcarata,no,no,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Acacia Shrublands,Sclerolaena_cuneata,X,X,X,Unknown,Conserved,481,Sclerolaena,Chen,29
Eucalypt Shrubland,Sclerolaena_diacantha,no,yes,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Eucalypt Shrubland,Sclerolaena_drummondii,no,yes,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Grassland,Sclerolaena_lanicuspis,no,yes,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
Grassland,Sclerolaena_muricata,no,no,Killed,Unknown,Conserved,481,Sclerolaena,Chen,29
