Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Haplostichanthus rufescens,tree,1,1,simple,no,evergreen,NA,NA,435,7,70,190,15,50,5,10,5,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wendlandia urceolata,tree,1,0,simple,no,evergreen,NA,NA,608,9,95,200,20,60,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geijera salicifolia-salicifolia,tree,1,0,simple,no,evergreen,770,670,659,35,30,190,10,75,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lycianthes shanesii,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,30,60,12,30,1,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexaspora pubescens,shrub,1,0,simple,no,evergreen,NA,NA,685,15,60,150,20,50,4,4,3,3,NA,Duplicate of Barlow_1981_2689,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2689,NA,Duplicate of Barlow_1981_2689,NA
Hypsophila dielsiana,tree,0,1,simple,no,evergreen,NA,NA,685,10,70,210,25,60,8,10,5,6,NA,Duplicate of Barlow_1981_2727,NA,NA,NA,NA,Duplicate of Barlow_1981_2727,Duplicate of Barlow_1981_2727,NA,Duplicate of Barlow_1981_2727,NA
Maytenus disperma,tree,1,0,simple,no,evergreen,740,740,685,15,30,100,10,50,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3050,NA,Duplicate of Barlow_1981_3050,NA
Dracophyllum sayeri,tree,1,0,simple,no,evergreen,NA,NA,NA,8,200,450,10,20,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atractocarpus benthamianus,tree,1,1,simple,no,evergreen,774,NA,NA,15.5,50,200,20,60,3,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leionema elatius-beckleri,shrub,1,0,simple,no,evergreen,597.7,NA,NA,10,20,35,6,10,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucryphia jinksii,tree,1,1,compound,no,evergreen,645,NA,NA,25,25,100,10,35,2,3,1,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arytera Dryander,tree,1,0,compound,no,evergreen,NA,NA,NA,6,80,140,38,54,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya cocosoides,tree,0,1,simple,no,evergreen,NA,571,533,30,40,150,25,55,9,10,13,14,NA,Duplicate of Barlow_1981_0928,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0928,Duplicate of Barlow_1981_0928,NA,Duplicate of Barlow_1981_0928
Polyalthia nitidissima,tree,1,0,simple,no,evergreen,450,480,435,18,60,140,25,60,6,7,5,6,NA,Duplicate of Metcalfe_2009_212,NA,Duplicate of NTH_2014_030,Duplicate of NTH_2014_030,Duplicate of NTH_2014_030,Duplicate of NTH_2014_030,NA,NA,NA,Duplicate of Barlow_1981_3607
Beilschmiedia elliptica,tree,0,1,simple,no,evergreen,700.9,NA,NA,45,60,100,20,35,6,8,6,8,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0474,NA,NA,NA
Rhodamnia longisepala,shrub,1,0,simple,no,evergreen,NA,NA,NA,5,35,86,20,42,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wendlandia inclusa,shrub,1,0,simple,no,evergreen,NA,NA,608,5,70,200,30,80,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseuduvaria hylandii,tree,0,1,simple,no,evergreen,NA,NA,435,13,60,200,20,60,8,11,8,11,6,Duplicate of Barlow_1981_3621,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3621,Duplicate of Barlow_1981_3621,Duplicate of Barlow_1981_3621,Duplicate of Barlow_1981_3621
Dolichandrone spathacea,tree,0,1,compound,no,deciduous,NA,NA,NA,20,50,120,30,55,15,18,4,5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euonymus globularis,shrub,1,1,simple,no,evergreen,NA,NA,685,6,50,100,20,45,6,7,2,2,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1533,Duplicate of Barlow_1981_1533,Duplicate of Barlow_1981_1533,Duplicate of Barlow_1981_1533,Duplicate of Barlow_1981_1533
Ceratopetalum succirubrum,tree,1,0,compound,no,evergreen,517,576,563,30,35,165,20,50,1,2,1,2,NA,NA,Duplicate of Ilic_2000_0851,NA,NA,NA,NA,NA,NA,NA,NA
Ceratopetalum virchowii,tree,1,0,compound,no,evergreen,NA,576,563,30,50,170,20,70,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya dorrigoensis,tree,0,1,simple,no,evergreen,NA,NA,NA,20,30,80,15,30,8,10,6,8,NA,Duplicate of Barlow_1981_0932,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya glaucocarpa,tree,0,1,simple,no,evergreen,NA,571,533,10,90,160,35,60,10,13,8,10,NA,Duplicate of Barlow_1981_0940,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0940,Duplicate of Barlow_1981_0940,Duplicate of Barlow_1981_0940,Duplicate of Barlow_1981_0940
Eucryphia wilkiei,shrub,1,0,simple,no,evergreen,NA,NA,NA,6,20,60,3,20,2,3,2,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haplostichanthus fruticosus,shrub,1,0,simple,no,evergreen,NA,NA,435,3,60,160,15,50,6,8,6,6,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2642,NA,NA
Phebalium longifolium,tree,1,0,simple,no,evergreen,NA,NA,NA,4,10,80,3,10,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casearia dallachii,tree,1,0,simple,no,evergreen,598,589,622,8,70,170,40,70,2,3,1,2,NA,Duplicate of Metcalfe_2009_046,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyalthia Wyvuri,tree,0,1,simple,no,evergreen,NA,480,435,25,60,20,25,60,25,40,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euonymus australiana,tree,1,1,simple,no,evergreen,NA,NA,685,8,40,100,20,60,4,6,3,5,NA,Duplicate of Barlow_1981_1532,NA,NA,NA,Duplicate of Barlow_1981_1532,NA,Duplicate of Barlow_1981_1532,Duplicate of Barlow_1981_1532,Duplicate of Barlow_1981_1532,Duplicate of Barlow_1981_1532
Leucopogon lanceolatus,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,6,34,2,6,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gillbeea whypallana,tree,1,1,compound,no,evergreen,NA,NA,NA,20,50,220,35,115,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyalthia australis,tree,0,1,simple,no,evergreen,NA,480,435,20,70,240,30,110,15,16,10,12,NA,Duplicate of Brock_1993_271,NA,Duplicate of NTH_2014_029,NA,NA,NA,Duplicate of Brock_1993_271,Duplicate of Barlow_1981_3605,NA,NA
Casearia grewiifolia,tree,1,0,simple,no,evergreen,NA,589,622,20,80,170,30,70,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya melanocarpa,tree,1,1,simple,no,evergreen,NA,571,533,20,65,135,20,55,5,7,6,8,NA,Duplicate of Barlow_1981_0949,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0949,Duplicate of Barlow_1981_0949,Duplicate of Barlow_1981_0949,Duplicate of Barlow_1981_0949
Cryptocarya densiflora,tree,1,1,simple,no,evergreen,NA,571,533,30,70,150,25,75,7,10,11,15,NA,Duplicate of Barlow_1981_0931,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0931,NA,NA,Duplicate of Barlow_1981_0931
Endiandra pubens,tree,0,1,simple,no,evergreen,649.3,NA,NA,25,60,140,20,50,30,40,30,40,NA,Duplicate of Barlow_1981_1503,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beilschmiedia collina,tree,0,1,simple,no,evergreen,NA,592,533,30,50,150,15,50,15,19,9,13,NA,Duplicate of Barlow_1981_0473,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0473,NA,Duplicate of Barlow_1981_0473,Duplicate of Barlow_1981_0473
Cryptocarya Boonjee,tree,0,1,simple,no,evergreen,NA,571,533,10,65,100,25,40,16,19,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthus ilicifolius,shrub,0,1,simple,yes,evergreen,NA,NA,NA,3,50,210,20,80,6,12,4,6,3,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_005,NA,Duplicate of Brock_1993_005,NA
Miliusa horsfieldii,tree,0,1,simple,no,deciduous,NA,NA,435,33,40,220,25,60,9,10,5,6,3,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3079,Duplicate of Barlow_1981_3079,Duplicate of Barlow_1981_3079,Duplicate of Barlow_1981_3079
Miliusa traceyi,tree,1,0,simple,no,deciduous,NA,NA,435,12,40,130,20,65,7,7,6,6,3,Duplicate of Barlow_1981_3080,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3080,Duplicate of NTH_2014_027,Duplicate of Barlow_1981_3080,Duplicate of Barlow_1981_3080
Cryptocarya bellendenkerana,tree,1,1,simple,no,evergreen,NA,571,533,25,20,55,15,35,7,9,9,10,NA,Duplicate of Barlow_1981_0922,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randia Gordon-Creek,shrub,1,0,simple,no,evergreen,NA,NA,608,5,25,45,15,20,4,5,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geissois benthamii,tree,1,0,compound,no,evergreen,576.2,NA,NA,45,60,170,20,50,4,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acronychia acidula,tree,1,0,simple,no,evergreen,520,555,659,27,70,290,45,135,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassinia (Ozothamnus) telfordii,shrub,1,0,simple,no,evergreen,NA,NA,NA,5,20,60,2.5,8,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypsophila halleyana,tree,1,0,simple,no,evergreen,NA,NA,685,6,40,110,15,30,7,8,5,6,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2728,Duplicate of Barlow_1981_2728,Duplicate of Barlow_1981_2728,Duplicate of Barlow_1981_2728,NA
Callicoma serratifolia,tree,1,0,simple,no,evergreen,494.5,NA,NA,35,40,120,30,50,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya pleurosperma,tree,0,1,simple,no,evergreen,562,571,533,30,70,160,35,70,25,35,16,24,NA,Duplicate of Barlow_1981_0956,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0956,Duplicate of Barlow_1981_0956,NA,Duplicate of Barlow_1981_0956
Randia moorei,tree,1,0,simple,no,evergreen,NA,NA,NA,12,20,60,10,30,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flindersia schottiana,tree,0,1,compound,no,evergreen,580,598,659,45,50,260,15,88,15,18,5,7,2,Duplicate of Metcalfe_2009_128,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychotria submontana,shrub,1,0,simple,no,evergreen,NA,NA,608,4,40,180,12,35,4,8,3,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psydrax johnsonii,shrub,1,0,simple,no,evergreen,NA,NA,NA,8,20,50,6,15,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedraianthera Mossman,tree,1,0,simple,no,evergreen,NA,NA,685,6,40,100,15,45,7,12,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucryphia moorei,tree,1,1,compound,no,evergreen,645,NA,NA,30,10,70,5,15,2,3,1,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gillbeea adenopetala,tree,1,0,compound,no,evergreen,440,440,553,35,60,170,25,110,5,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geissois biagiana,tree,1,0,compound,no,evergreen,500,500,553,33,60,280,35,80,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goniothalamus australis,tree,0,1,simple,no,evergreen,NA,NA,435,30,50,120,30,50,15,20,12,15,6,Duplicate of Barlow_1981_1641,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1641,Duplicate of Barlow_1981_1641,Duplicate of Barlow_1981_1641
Galbulimima baccata,tree,1,1,simple,no,evergreen,463,492,492,40,50,160,25,35,10,11,5,6,3,Duplicate of Barlow_1981_1627,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1627,NA
Endiandra acuminata,tree,0,1,simple,no,evergreen,590,622,533,30,60,105,20,40,23,26,11,22,NA,Duplicate of Barlow_1981_1468,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1468,NA,Duplicate of Barlow_1981_1468
Phebalium distans,tree,1,0,simple,no,evergreen,NA,NA,NA,7,15,60,4,8,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectryon subcinereus,tree,1,1,compound,no,evergreen,632.1,NA,NA,30,60,150,20,50,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0080,NA,NA,NA
Cryptocarya corrugata,tree,0,1,simple,no,evergreen,640,571,533,40,30,110,15,60,15,23,20,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0929
Cryptocarya oblata,tree,0,1,simple,no,evergreen,452,571,533,35,75,140,29,60,19,34,27,43,20,Duplicate of Barlow_1981_0953,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0953,NA,Duplicate of Barlow_1981_0953,Duplicate of Barlow_1981_0953
Rhodamnia maideniana,shrub,1,0,simple,no,evergreen,NA,NA,NA,6,50,100,20,45,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alangium villosum-tomentosum,tree,0,1,simple,no,evergreen,570,570,570,9,35,200,10,90,15,15,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meiogyne hirsuta,shrub,1,0,simple,no,evergreen,NA,NA,435,3,50,140,15,50,7,9,6,8,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3060,Duplicate of Barlow_1981_3060,Duplicate of Barlow_1981_3060
Citrus garrawayi,tree,1,0,simple,no,evergreen,NA,NA,659,12,7,60,4,40,6,7,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya saccharata,tree,0,1,simple,no,evergreen,NA,571,533,35,55,120,20,50,13,22,9,13,NA,Duplicate of Barlow_1981_0960,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0960,Duplicate of Barlow_1981_0960,Duplicate of Barlow_1981_0960,Duplicate of Barlow_1981_0960
Cryptocarya claudiana,tree,1,1,simple,no,evergreen,NA,571,533,10,85,190,30,70,11,12,8,11,NA,Duplicate of Barlow_1981_0927,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0927,NA,Duplicate of Barlow_1981_0927,NA
Lophopetalum arnhemicum,tree,0,1,simple,no,evergreen,NA,NA,NA,20,50,170,15,35,5,7,3,4,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3015,Duplicate of Barlow_1981_3015,NA,Duplicate of Barlow_1981_3015
Endiandra hayesii,tree,1,1,simple,no,evergreen,662.2,NA,NA,40,60,120,30,60,15,20,7,10,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1484,NA,NA
Medicosma cunninghamii,shrub,1,0,simple,no,evergreen,NA,NA,NA,10,80,150,15,50,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyalthia michaelii,tree,0,1,simple,no,evergreen,510,480,435,25,60,200,35,75,25,40,18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya erythroxylon,tree,1,1,simple,no,evergreen,619.2,NA,NA,45,60,130,20,40,9,12,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya smaragdina,tree,1,0,simple,no,evergreen,NA,571,533,25,50,85,15,25,7,8,8,9,NA,Duplicate of Barlow_1981_0962,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0962,Duplicate of Barlow_1981_0962,Duplicate of Barlow_1981_0962,Duplicate of Barlow_1981_0962
Clerodendrum grayi,shrub,1,1,simple,no,evergreen,NA,NA,519,6,80,210,40,88,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schefflera actinophylla,tree,1,0,compound,no,evergreen,400,400,390,24,80,300,50,140,5,6,1,2,NA,Duplicate of Metcalfe_2009_240,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schefflera bractescens,tree,1,0,compound,no,evergreen,NA,400,390,4,100,380,80,120,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arytera dictyoneura,tree,1,1,compound,no,evergreen,NA,NA,NA,8,35,110,18,50,6,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0323,NA
Cryptocarya grandis,tree,1,1,simple,no,evergreen,NA,571,533,35,65,155,30,75,9,13,11,15,NA,Duplicate of Barlow_1981_0941,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0941,Duplicate of Barlow_1981_0941,Duplicate of Barlow_1981_0941,Duplicate of Barlow_1981_0941
Sloanea australis,tree,1,1,simple,no,evergreen,516,NA,NA,45,70,300,30,100,7,9,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cossinia australiana,tree,1,1,compound,no,evergreen,NA,NA,NA,8,20,75,8,22,6,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0912,Duplicate of Barlow_1981_0912
Cryptocarya triplinervis-pubens,tree,1,0,simple,no,evergreen,649.3,NA,NA,30,50,100,20,40,5,8,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratopetalum iugumensis,tree,1,0,compound,no,evergreen,NA,576,563,10,100,150,14,55,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trema tomentosa-tomentosa,tree,1,0,simple,no,evergreen,NA,NA,NA,6,50,180,20,70,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidsonia jerseyana,tree,0,1,compound,no,evergreen,752.5,NA,NA,10,60,200,30,80,15,20,12,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atalaya calcicola,tree,1,1,compound,no,evergreen,NA,680,661,10,60,140,30,60,6,8,4,6,NA,Duplicate of Barlow_1981_0338,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0338,Duplicate of Barlow_1981_0338,Duplicate of Barlow_1981_0338,Duplicate of Barlow_1981_0338
Atalaya rigida,tree,1,1,compound,no,evergreen,NA,NA,NA,8,100,145,55,75,5,6,3,5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0341,Duplicate of Barlow_1981_0341,Duplicate of Barlow_1981_0341,Duplicate of Barlow_1981_0341
Fontainea fugax,shrub,0,1,simple,no,evergreen,NA,NA,NA,5,15,90,6,40,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arytera microphylla,tree,1,0,compound,no,evergreen,NA,NA,NA,9,20,50,12,28,6,7,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0329,Duplicate of Barlow_1981_0329
Baileyoxylon lanceolatum,tree,0,1,simple,no,evergreen,NA,NA,622,30,100,160,40,50,15,18,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya bidwillii,tree,0,1,simple,no,evergreen,645,NA,NA,20,50,120,20,40,9,13,7,12,NA,Duplicate of Barlow_1981_0923,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidsonia johnsonii,tree,0,1,compound,no,evergreen,752.5,NA,NA,18,20,150,15,60,15,20,12,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidsonia pruriens,tree,0,1,compound,no,evergreen,NA,NA,NA,18,50,460,25,160,10,12,6,8,NA,Duplicate of Metcalfe_2009_087,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya glaucescens,tree,1,1,simple,no,evergreen,541.8,NA,NA,45,60,130,20,40,10,12,8,9,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0939,NA,NA
Archeria hirtella,shrub,1,0,simple,no,evergreen,NA,NA,NA,6,6,10,3,5,0.3,0.5,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diselma archeri,tree,1,0,simple,no,evergreen,NA,NA,NA,6,1,2,1,1.5,1,2,1,2,1,Duplicate of Barlow_1981_1218,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1218,NA,Duplicate of Barlow_1981_1218,NA
Macadamia tetraphylla,tree,0,1,simple,no,evergreen,NA,NA,NA,18,70,250,22,45,12,15,12,15,NA,Duplicate of Barlow_1981_3038,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3038,NA
Nematolepis squamea,tree,1,0,simple,no,evergreen,597.7,NA,NA,6,50,100,10,22,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of TMAG_2009_166,NA,NA
Dinosperma erythrococcum,tree,1,0,compound,no,evergreen,NA,NA,659,25,23,130,10,50,4,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atalaya hemiglauca,tree,1,1,compound,no,evergreen,NA,NA,NA,6,60,150,8,18,5,6,4,5,3,Duplicate of Barlow_1981_0339,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0339,Duplicate of Brock_1993_026
Atalaya multiflora,tree,1,1,compound,no,evergreen,NA,NA,NA,25,50,120,15,40,5,6,4,5,3,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0340,NA,NA,NA
Meiogyne cylindrocarpa_cylindrocarpa,tree,1,0,simple,no,evergreen,NA,NA,435,8,20,75,15,25,7,9,6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meiogyne verrucosa,shrub,1,0,simple,no,evergreen,NA,NA,435,3,70,100,20,30,7,7,6,6,3,Duplicate of Barlow_1981_3062,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3062,NA,NA,NA
Pilidiostigma tropicum,tree,1,1,simple,no,evergreen,NA,NA,653,20,40,90,20,38,5,8,2,3,NA,Duplicate of Metcalfe_2009_202,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubiaceae Shute-Harbour,shrub,1,0,simple,no,evergreen,NA,NA,608,3,60,140,25,60,3,5,2,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schyphiphora hydrophyllaceae,tree,1,0,simple,no,evergreen,NA,NA,NA,6,23,75,13,45,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus coronulata,tree,1,0,simple,no,deciduous,NA,394,522,15,35,170,15,60,1,1,1,1,NA,Duplicate of Barlow_1981_1560,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beilschmiedia peninsularis,tree,0,1,simple,no,evergreen,NA,592,533,20,60,130,20,55,16,20,11,12,NA,Duplicate of Barlow_1981_0477,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0477,NA,Duplicate of Barlow_1981_0477,Duplicate of Barlow_1981_0477
Capparis loranthifolia,shrub,0,1,simple,no,evergreen,NA,NA,NA,10,40,80,15,22,6,8,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atalaya collina,tree,1,1,compound,no,evergreen,NA,NA,NA,10,50,120,12,40,5,6,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstonia actinophylla,tree,0,1,simple,no,evergreen,NA,502,473,35,20,135,5,25,5,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstonia scholaris,tree,0,1,simple,no,evergreen,335,502,473,40,115,230,40,75,4,5,1,1,NA,Duplicate of Metcalfe_2009_016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xylocarpus rumphii,tree,0,1,compound,no,evergreen,NA,NA,NA,18,35,160,20,95,35,70,10,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hicksbeachia pinnatifolia,tree,0,1,compound,yes,evergreen,580.5,NA,NA,15,60,250,20,60,20,25,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allophylus cobbe,tree,1,0,compound,no,evergreen,NA,NA,661,6,15,190,10,75,4,8,3,6,NA,Duplicate of Brock_1993_013,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0169,NA,NA
Atalaya angustifolia,tree,1,0,compound,no,evergreen,NA,680,661,5,15,70,2,5,5,7,4,5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0336,Duplicate of Barlow_1981_0336,Duplicate of Barlow_1981_0336,Duplicate of Barlow_1981_0336
Tarenna dallachiana_expandens,tree,1,0,simple,no,evergreen,NA,NA,NA,8,120,220,60,95,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zieria verrucosa,shrub,1,0,compound,no,evergreen,NA,NA,NA,2,10,50,1,5,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya nova-anglica,tree,1,1,simple,no,evergreen,NA,NA,NA,20,30,70,16,35,7,8,5,6,NA,Duplicate of Barlow_1981_0952,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halfordia scleroxyla,tree,1,0,simple,no,evergreen,840,840,659,30,50,175,15,65,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophostemon lactifluus,tree,1,0,simple,no,evergreen,NA,NA,NA,15,100,140,27,60,1,1.5,1,1.5,NA,Duplicate of Brock_1993_212,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya williwilliana,tree,1,0,simple,no,evergreen,NA,NA,NA,10,15,40,5,20,6,8,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya vulgaris,tree,1,0,simple,no,evergreen,NA,571,533,30,65,140,25,60,5,9,5,9,NA,Duplicate of Barlow_1981_0967,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0967,Duplicate of Barlow_1981_0967,Duplicate of Barlow_1981_0967,Duplicate of Barlow_1981_0967
Xylopia maccreae,tree,0,1,simple,no,evergreen,NA,NA,435,25,40,150,20,40,10,14,6,7,NA,Duplicate of Metcalfe_2009_285,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarenna monticola,tree,1,0,simple,no,evergreen,NA,NA,NA,7,120,270,30,110,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
