Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O
624,Caesalpinia pyramidalis,3,Nl,G1,South America,Semi-arid,Deciduous,1.31,0.555,NA,NA,21.29,1.86,5.85,NA,NA,NA
625,Caesalpinia pyramidalis,2,Nh,G1,South America,Semi-arid,Deciduous,23.42,0.333,NA,17.05,20.7,0.88,7.34,50.45,48,1.06
626,Caesalpinia pyramidalis,2,Nh,G1,South America,Semi-arid,Deciduous,7.54,0.515,NA,21.59,23.28,0.74,8.39,39.87,109,1.02
627,Caesalpinia pyramidalis,2,Nh,G1,South America,Semi-arid,Deciduous,39.58,0.284,NA,17.15,23.27,1.28,10.47,95.31,73,1.08
628,Caesalpinia pyramidalis,2,Nh,G1,South America,Semi-arid,Deciduous,7.42,0.313,NA,23.26,23.7,2.85,8.73,56.83,112,1.02
629,Caesalpinia pyramidalis,2,Nh,G1,South America,Semi-arid,Deciduous,40.63,0.246,NA,17.3,22.52,4.65,9.6,139.43,133,1.06
630,Caesalpinia pyramidalis,2,Nl,G1,South America,Semi-arid,Deciduous,2.03,0.589,NA,25.8,15.35,0.57,4.07,62.9,93.56,1.03
631,Caesalpinia pyramidalis,2,Nl,G1,South America,Semi-arid,Deciduous,3.29,0.697,NA,26.79,8.6,0.72,2.27,11.71,37,1.01
632,Caesalpinia pyramidalis,2,Nl,G1,South America,Semi-arid,Deciduous,0.97,0.668,NA,47.78,16.46,1.14,4.79,245.91,85.42,1.06
633,Caesalpinia pyramidalis,2,Nl,G1,South America,Semi-arid,Deciduous,2.51,0.342,NA,29.16,20.86,1.58,2.33,203.97,124.49,1.06
634,Caesalpinia pyramidalis,2,Nl,G1,South America,Semi-arid,Deciduous,1.92,0.412,NA,27.83,22.47,1.02,3.28,66.71,88.37,1.03
635,Caesalpinia pyramidalis,2,Nh,G0,South America,Semi-arid,Deciduous,48.88,0.411,0.51,16.74,23.03,2.9,9.88,12.71,32,1.02
636,Caesalpinia pyramidalis,2,Nl,G0,South America,Semi-arid,Deciduous,19.23,0.476,0.29,15.96,21.3,1.9,9.21,79.2,43,1.12
637,Caesalpinia pyramidalis,2,Nl,G0,South America,Semi-arid,Deciduous,36.71,0.545,0.3,18.09,15.62,1.22,6.94,138.45,87,1.09
638,Caesalpinia pyramidalis,2,Nl,G0,South America,Semi-arid,Deciduous,7.4,0.577,0.08,16.9,28.75,1.47,5.08,31.9,4.05,1.6
639,Caesalpinia pyramidalis,2,Nl,G0,South America,Semi-arid,Deciduous,2.97,0.474,0.08,19.82,19.59,1.02,8.15,91.8,114.01,1.04
640,Caesalpinia pyramidalis,2,Nl,G0,South America,Semi-arid,Deciduous,3.14,0.495,0.09,25.79,42.56,4.18,8.54,67.24,23.01,1.12
641,Colophospermum mopane,1,Nh,G1,Africa,Semi-arid,Deciduous,0.91,0.147,NA,26.77,31.46,5.49,16.45,101.75,55.74,1.07
642,Colophospermum mopane,1,Nh,G1,Africa,Semi-arid,Deciduous,2.28,0.485,NA,17.16,26.95,1.66,15.69,43.91,10,1.28
643,Colophospermum mopane,1,Nh,G1,Africa,Semi-arid,Deciduous,1.96,0.248,NA,13.27,29.15,1.92,15.45,186.72,89.51,1.16
644,Colophospermum mopane,1,Nh,G1,Africa,Semi-arid,Deciduous,2.71,0.459,NA,15.99,28.42,1.57,14.26,56.96,18,1.21
645,Colophospermum mopane,2,Nh,G1,Africa,Semi-arid,Deciduous,2.46,0.34,NA,18.58,26.28,1.87,10.98,6.57,15,1.02
646,Colophospermum mopane,2,Nh,G1,Africa,Semi-arid,Deciduous,1.09,0.303,NA,16.4,25.07,1.92,11,5.92,19,1.02
647,Colophospermum mopane,2,Nh,G1,Africa,Semi-arid,Deciduous,3.23,0.357,NA,16.88,22.57,1.91,14.13,70.2,62,1.07
648,Colophospermum mopane,2,Nh,G1,Africa,Semi-arid,Deciduous,8.39,0.331,NA,13.32,17.34,1.84,12.35,78.27,76,1.08
649,Colophospermum mopane,2,Nh,G1,Africa,Semi-arid,Deciduous,2.65,0.228,NA,23.89,25.63,2.26,13.69,22.5,26,1.04
650,Colophospermum mopane,2,Nl,G1,Africa,Semi-arid,Deciduous,2.14,0.59,NA,15.14,16.02,1.25,9.5,94.85,76,1.08
651,Colophospermum mopane,2,Nl,G1,Africa,Semi-arid,Deciduous,2.46,0.592,NA,17.16,15.18,1.25,5.88,54.2,54,1.06
652,Colophospermum mopane,2,Nl,G1,Africa,Semi-arid,Deciduous,1.78,0.528,NA,23.84,19.24,1.43,12.42,58.21,10000,1
653,Colophospermum mopane,2,Nl,G1,Africa,Semi-arid,Deciduous,1.92,0.574,NA,17.17,15.16,1.51,7.48,79.96,65,1.07
654,Colophospermum mopane,2,Nl,G1,Africa,Semi-arid,Deciduous,3.29,0.448,NA,21.15,16.92,1.37,10.46,62.33,38,1.08
655,Colophospermum mopane,2,Nh,G0,Africa,Semi-arid,Deciduous,65.92,0.365,0.44,10.62,16.36,1.74,11.19,73.24,114,1.06
656,Colophospermum mopane,2,Nh,G0,Africa,Semi-arid,Deciduous,31.39,0.376,0.28,11.55,16.88,2.24,13.28,87.63,127,1.06
657,Colophospermum mopane,2,Nh,G0,Africa,Semi-arid,Deciduous,35.95,0.601,0.26,9.96,20.27,2.18,10.31,100.63,134,1.08
658,Colophospermum mopane,2,Nh,G0,Africa,Semi-arid,Deciduous,51.66,0.399,0.49,11.8,22.45,1.75,13.39,67.08,70,1.08
659,Colophospermum mopane,2,Nh,G0,Africa,Semi-arid,Deciduous,27.88,0.334,0.37,14.39,21.27,4.01,16.76,25.47,41,1.04
660,Colophospermum mopane,2,Nl,G0,Africa,Semi-arid,Deciduous,9.3,0.454,0.16,18.3,25.14,3.19,18.84,205.97,203,1.06
661,Colophospermum mopane,2,Nl,G0,Africa,Semi-arid,Deciduous,23.87,0.571,0.27,10.58,20.35,1.68,10.04,122.67,223,1.05
662,Colophospermum mopane,2,Nl,G0,Africa,Semi-arid,Deciduous,7.85,0.507,0.16,11.88,19.36,4.25,16.21,42.59,50,1.07
663,Colophospermum mopane,2,Nl,G0,Africa,Semi-arid,Deciduous,15.93,0.397,0.26,10.86,18.04,1.14,19.76,41.18,57,1.07
664,Colophospermum mopane,2,Nl,G0,Africa,Semi-arid,Deciduous,18.89,0.383,0.35,13.55,19.18,1.62,12.33,94.49,83,1.08
665,Colophospermum mopane,1,Nl,G0,Africa,Semi-arid,Deciduous,8.51,0.407,0.2,13.25,18.1,1.64,16.93,75.18,17,1.35
666,Colophospermum mopane,1,Nh,G1,Africa,Semi-arid,Deciduous,1.87,0.415,NA,18.09,25.27,1.84,11.87,296.85,158.58,1.1
667,Colophospermum mopane,1,Nl,G1,Africa,Semi-arid,Deciduous,1.76,0.413,NA,28.88,36.14,1.95,15.82,156.97,58,1.1
668,Colophospermum mopane,1,Nl,G1,Africa,Semi-arid,Deciduous,1.22,0.422,NA,21.37,24.05,1.39,13.08,NA,NA,NA
671,Colophospermum mopane,1,Nl,G1,Africa,Semi-arid,Deciduous,1.74,0.546,NA,20.06,20.76,1.11,8.4,415.09,134.88,1.15
672,Colophospermum mopane,1,Nh,G0,Africa,Semi-arid,Deciduous,14.4,0.479,0.23,14.11,22.21,1.89,15.3,40.51,16,1.19
673,Colophospermum mopane,1,Nh,G0,Africa,Semi-arid,Deciduous,12.29,0.277,0.31,16.36,24.64,2.53,13.74,NA,NA,NA
674,Colophospermum mopane,1,Nh,G0,Africa,Semi-arid,Deciduous,15.43,0.35,0.4,15.69,26.59,2.62,15.66,76.33,28,1.18
675,Colophospermum mopane,1,Nh,G0,Africa,Semi-arid,Deciduous,8.33,0.367,0.29,14.39,23.64,2.04,13.78,38.41,18,1.15
676,Colophospermum mopane,1,Nh,G0,Africa,Semi-arid,Deciduous,3.14,0.194,0.18,18.37,24.64,6.37,23.06,204.9,74,1.15
677,Colophospermum mopane,1,Nl,G0,Africa,Semi-arid,Deciduous,8.03,0.306,0.23,15.58,25.49,1.92,19.25,68.01,31,1.14
678,Colophospermum mopane,1,Nl,G0,Africa,Semi-arid,Deciduous,5.03,0.368,0.19,16,19.75,1.69,18,111.37,32,1.22
679,Colophospermum mopane,1,Nl,G0,Africa,Semi-arid,Deciduous,9.33,0.608,0.13,13.81,22.16,1.17,15.06,64.51,45,1.11
680,Colophospermum mopane,1,Nl,G0,Africa,Semi-arid,Deciduous,3.74,0.623,0.08,14.52,21.15,1.17,10.74,37.31,16,1.17
681,Combretum apiculatum,2,Nh,G1,Africa,Semi-arid,Deciduous,1.74,0.203,NA,36.61,25.65,2.9,10.66,37.61,41,1.03
682,Combretum apiculatum,3,Nh,G1,Africa,Semi-arid,Deciduous,0.7,0.182,NA,NA,NA,NA,NA,NA,1,NA
683,Combretum apiculatum,2,Nl,G1,Africa,Semi-arid,Deciduous,1.2,0.435,NA,25.57,10.24,0.84,4.09,NA,NA,NA
685,Combretum apiculatum,2,Nl,G1,Africa,Semi-arid,Deciduous,2.18,0.501,NA,31.15,19.62,1.7,12.08,NA,NA,NA
686,Combretum apiculatum,2,Nl,G1,Africa,Semi-arid,Deciduous,1.05,0.436,NA,21.87,10.8,0.82,3.09,53.48,58,1.04
687,Combretum apiculatum,3,Nl,G1,Africa,Semi-arid,Deciduous,0.72,0.484,NA,NA,42.17,1.49,4.28,NA,1,NA
688,Combretum apiculatum,2,Nh,G0,Africa,Semi-arid,Deciduous,30.35,0.263,0.66,25.3,18.61,1.95,11.02,142.7,105,1.05
690,Combretum apiculatum,2,Nh,G0,Africa,Semi-arid,Deciduous,42.19,0.269,0.79,27.12,18.58,1.4,13.01,104.07,117,1.03
691,Combretum apiculatum,2,Nh,G0,Africa,Semi-arid,Deciduous,12.75,0.321,0.3,27.7,22.41,2.59,12.4,92.42,75,1.05
692,Combretum apiculatum,2,Nh,G1,Africa,Semi-arid,Deciduous,2.3,0.553,NA,30.26,13.48,2.1,5.69,100.87,91,1.04
693,Combretum apiculatum,2,Nh,G1,Africa,Semi-arid,Deciduous,4.33,0.268,NA,30.16,22.81,2.38,12.98,218.18,106,1.07
694,Combretum apiculatum,3,Nh,G1,Africa,Semi-arid,Deciduous,0.83,0.255,NA,NA,28.82,0.93,5.4,NA,1,NA
695,Combretum apiculatum,1,Nh,G1,Africa,Semi-arid,Deciduous,0.68,0.299,NA,24.5,42.93,2.05,17.62,106.34,15,1.31
696,Combretum apiculatum,1,Nh,G1,Africa,Semi-arid,Deciduous,1.23,0.324,NA,32.03,27.45,1.85,13.67,70.33,17.84,1.13
697,Combretum apiculatum,1,Nh,G1,Africa,Semi-arid,Deciduous,1.08,0.286,NA,28.67,30.05,1.26,11.17,41.14,10,1.16
698,Combretum apiculatum,1,Nh,G1,Africa,Semi-arid,Deciduous,1.23,0.3,NA,26.58,39.63,2.39,14.96,83.85,17.63,1.19
699,Combretum apiculatum,1,Nh,G1,Africa,Semi-arid,Deciduous,1.2,0.332,NA,32.05,33.93,4.01,24.28,33.05,10,1.11
700,Combretum apiculatum,1,Nl,G1,Africa,Semi-arid,Deciduous,0.66,0.43,NA,39.73,21.31,1.03,10.6,1150.99,249.08,1.12
701,Combretum apiculatum,1,Nl,G1,Africa,Semi-arid,Deciduous,1.54,0.554,NA,24.32,17.88,0.67,4.19,44.54,20.4,1.09
702,Combretum apiculatum,1,Nl,G1,Africa,Semi-arid,Deciduous,0.73,0.544,NA,22.7,16.44,1.1,2.97,89.91,58.45,1.07
703,Combretum apiculatum,1,Nl,G1,Africa,Semi-arid,Deciduous,0.88,0.6,NA,29.57,23.95,0.96,7.11,62.43,19.46,1.11
704,Combretum apiculatum,1,Nl,G1,Africa,Semi-arid,Deciduous,0.84,0.39,NA,36.72,19.22,1.4,7.33,124.68,39.49,1.09
705,Combretum apiculatum,1,Nh,G0,Africa,Semi-arid,Deciduous,8.26,0.421,0.39,28.65,36.94,4.77,11.78,6.73,3,1.1
706,Combretum apiculatum,1,Nh,G0,Africa,Semi-arid,Deciduous,5.56,0.346,0.31,24.69,30.76,3.87,11.09,52.86,16,1.14
707,Combretum apiculatum,1,Nh,G0,Africa,Semi-arid,Deciduous,12.23,0.369,0.44,24.34,32.43,5.08,10.12,108.1,26,1.18
708,Combretum apiculatum,1,Nh,G0,Africa,Semi-arid,Deciduous,19.09,0.36,0.68,20.11,27.28,3.89,10.63,101.57,53,1.1
709,Combretum apiculatum,1,Nh,G0,Africa,Semi-arid,Deciduous,9.39,0.424,0.33,25.25,28.66,2.8,11.61,91.89,23,1.16
710,Combretum apiculatum,1,Nl,G0,Africa,Semi-arid,Deciduous,2.14,0.429,0.15,29.8,29.22,2.13,12.6,NA,NA,NA
711,Combretum apiculatum,1,Nl,G0,Africa,Semi-arid,Deciduous,11.88,0.541,0.3,18.46,25.86,1.75,12,130.23,32,1.23
712,Combretum apiculatum,1,Nl,G0,Africa,Semi-arid,Deciduous,9.66,0.389,0.33,21.99,26.05,2.1,12.6,82.36,15,1.26
713,Combretum apiculatum,1,Nl,G0,Africa,Semi-arid,Deciduous,7.16,0.452,0.3,23.61,29.95,2.1,14.23,130.86,43,1.13
714,Combretum apiculatum,1,Nl,G0,Africa,Semi-arid,Deciduous,4.67,0.36,0.23,20.46,22.28,1.24,9,70.58,28,1.13
716,Combretum apiculatum,2,Nl,G0,Africa,Semi-arid,Deciduous,8.01,0.379,0.33,25.05,23.52,1.61,8.45,111.24,129,1.03
717,Combretum apiculatum,2,Nl,G0,Africa,Semi-arid,Deciduous,2.26,0.378,0.19,60.11,26.27,2.33,8.7,25.04,73,1.01
718,Combretum apiculatum,2,Nl,G0,Africa,Semi-arid,Deciduous,2.63,0.304,0.18,16.52,28.65,2.74,14.5,53.86,136,1.02
719,Combretum apiculatum,2,Nl,G0,Africa,Semi-arid,Deciduous,2.38,0.432,0.14,45.47,25.45,2.57,14.97,114.68,40,1.06
720,Combretum apiculatum,2,Nl,G0,Africa,Semi-arid,Deciduous,5.99,0.277,0.27,NA,20.61,2.39,8.68,NA,124,1.04
721,Combretum hereroense,1,Nh,G1,Africa,Semi-arid,Deciduous,0.62,0.136,NA,54.55,32.35,3.43,25.26,38.52,17.5,1.04
722,Combretum hereroense,1,Nh,G1,Africa,Semi-arid,Deciduous,0.85,0.138,NA,35.63,28.61,2.47,21.13,125.69,20,1.18
723,Combretum hereroense,1,Nh,G1,Africa,Semi-arid,Deciduous,0.77,0.239,NA,49.55,27.23,2.21,27.73,72.61,11.01,1.14
724,Combretum hereroense,1,Nh,G1,Africa,Semi-arid,Deciduous,1.08,0.174,NA,37.31,28.04,2.74,20.07,12.19,5,1.08
725,Combretum hereroense,1,Nh,G0,Africa,Semi-arid,Deciduous,15.56,0.399,0.53,19.66,26.43,1.35,19.24,219.26,131,1.09
726,Combretum hereroense,1,Nh,G0,Africa,Semi-arid,Deciduous,18.38,0.389,0.66,17.26,25.16,1.28,20.29,16.54,6,1.18
727,Combretum hereroense,1,Nh,G0,Africa,Semi-arid,Deciduous,17.87,0.303,0.56,13.28,33.53,1.67,25.92,NA,5,NA
728,Combretum hereroense,1,Nh,G0,Africa,Semi-arid,Deciduous,4.24,0.128,0.31,30.64,29.6,2.02,27.91,4.06,5,1.03
729,Combretum hereroense,1,Nh,G0,Africa,Semi-arid,Deciduous,19.15,0.169,0.58,17.79,20.97,1.02,19.79,4.56,5,1.05
730,Combretum hereroense,1,Nl,G0,Africa,Semi-arid,Deciduous,7.93,0.312,0.35,20.91,25.83,1.46,20.47,101.39,NA,NA
731,Combretum hereroense,1,Nl,G0,Africa,Semi-arid,Deciduous,7.47,0.517,0.21,16.38,24,0.97,18.68,NA,NA,NA
732,Combretum hereroense,1,Nl,G0,Africa,Semi-arid,Deciduous,4.18,0.28,0.2,42.42,19.87,1.1,19.93,22.21,8,1.07
733,Combretum hereroense,1,Nl,G0,Africa,Semi-arid,Deciduous,4.26,0.593,0.14,21.15,17.25,0.52,16.02,22.15,9,1.13
734,Combretum hereroense,1,Nl,G0,Africa,Semi-arid,Deciduous,2.21,0.34,0.08,17.71,19.69,0.66,13.69,27.56,10,1.17
735,Combretum hereroense,2,Nh,G0,Africa,Semi-arid,Deciduous,49.42,0.252,0.78,15.24,19.63,1.15,13.71,43.67,26,1.11
736,Combretum hereroense,2,Nh,G0,Africa,Semi-arid,Deciduous,9.34,0.263,0.36,15.4,30.81,1.27,23.73,53.34,73,1.05
737,Combretum hereroense,2,Nh,G0,Africa,Semi-arid,Deciduous,55.03,0.201,0.57,18.92,19.78,1.07,17.09,57.75,34,1.09
738,Combretum hereroense,2,Nh,G0,Africa,Semi-arid,Deciduous,50.74,0.239,0.64,17.77,16.14,0.93,16.67,NA,NA,NA
739,Combretum hereroense,2,Nh,G0,Africa,Semi-arid,Deciduous,47.33,0.193,0.64,17.81,16.12,0.81,14.72,68.68,79,1.05
740,Combretum hereroense,2,Nl,G0,Africa,Semi-arid,Deciduous,5.63,0.412,0.22,18.29,26.54,1.27,18.7,43.07,51,1.05
741,Combretum hereroense,2,Nl,G0,Africa,Semi-arid,Deciduous,10,0.272,0.33,18.61,25.23,1.16,19.23,110.8,91,1.07
742,Combretum hereroense,2,Nl,G0,Africa,Semi-arid,Deciduous,3.99,0.364,0.18,20.3,23.25,0.91,15.8,110.61,124,1.04
743,Combretum hereroense,2,Nl,G0,Africa,Semi-arid,Deciduous,4.02,0.33,0.18,24.33,33.85,1.45,22.47,78.86,65,1.05
744,Combretum hereroense,2,Nl,G0,Africa,Semi-arid,Deciduous,3.61,0.402,0.14,24.54,21.51,1.1,16.33,72.16,NA,NA
745,Combretum hereroense,2,Nh,G1,Africa,Semi-arid,Deciduous,5.41,0.219,NA,22.29,25.73,1.52,11.09,201.6,196,1.05
746,Combretum hereroense,2,Nl,G1,Africa,Semi-arid,Deciduous,1.26,0.454,NA,24.94,17.18,0.8,6.7,1,39,1
747,Combretum hereroense,2,Nl,G1,Africa,Semi-arid,Deciduous,0.72,0.28,NA,28.34,15.93,1.21,5.64,69.03,61,1.04
748,Combretum hereroense,1,Nh,G1,Africa,Semi-arid,Deciduous,0.7,0.127,NA,42.96,31.42,2.22,24.31,104.1,18,1.14
749,Combretum hereroense,1,Nl,G1,Africa,Semi-arid,Deciduous,0.83,0.283,NA,32.11,22.82,1.13,7.31,7.42,8,1.03
750,Combretum hereroense,1,Nl,G1,Africa,Semi-arid,Deciduous,0.77,0.333,NA,38.39,28.74,1.34,12.23,1,8,1
751,Combretum hereroense,1,Nl,G1,Africa,Semi-arid,Deciduous,0.62,0.228,NA,45.49,NA,NA,NA,32.21,13.01,1.06
752,Combretum hereroense,1,Nl,G1,Africa,Semi-arid,Deciduous,0.93,0.301,NA,37.64,25.4,1.38,13.36,177.91,34,1.14
753,Combretum hereroense,1,Nl,G1,Africa,Semi-arid,Deciduous,1.09,0.177,NA,37.84,26.83,1.09,17.33,105.05,58.61,1.05
754,Combretum hereroense,2,Nh,G1,Africa,Semi-arid,Deciduous,6.77,0.2,NA,20.16,32.83,1.89,14.64,19.15,48,1.02
755,Combretum hereroense,2,Nh,G1,Africa,Semi-arid,Deciduous,1.15,0.23,NA,47.48,24.33,1.24,15.11,38.98,24,1.04
756,Combretum hereroense,2,Nh,G1,Africa,Semi-arid,Deciduous,2.92,0.291,NA,29.25,24.22,1.08,15.93,56.57,60,1.03
757,Combretum hereroense,2,Nh,G1,Africa,Semi-arid,Deciduous,6.64,0.382,NA,21.59,21.62,1.47,10.88,65.76,44,1.07
758,Combretum hereroense,2,Nl,G1,Africa,Semi-arid,Deciduous,0.66,0.429,NA,NA,23.64,1.86,8.94,NA,NA,NA
759,Combretum hereroense,2,Nl,G1,Africa,Semi-arid,Deciduous,0.89,0.34,NA,33.54,18.16,1.01,9.3,61.37,39,1.05
760,Combretum hereroense,2,Nl,G1,Africa,Semi-arid,Deciduous,2.59,0.421,NA,29.36,27.51,1.69,12.5,168.37,102,1.06
761,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,28.84,0.163,0.54,16.27,NA,NA,NA,NA,NA,NA
762,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,48.72,0.227,0.39,18.45,24.2,1.45,11.83,NA,NA,NA
763,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,41.98,0.367,0.65,16.9,24.04,2.22,10.34,NA,NA,NA
764,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,2.67,0.38,0.09,30.57,31.27,1.8,15.42,NA,NA,NA
765,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,8.65,0.394,0.22,18.21,24.83,1.38,8.7,NA,NA,NA
766,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,5.85,0.356,0.23,22.91,27.11,2.16,12.19,NA,NA,NA
767,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,15.74,0.394,0.43,18.61,23.11,1.21,11.38,NA,NA,NA
768,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,71.46,0.351,0.85,18.12,17.12,2.18,6.76,57.18,76,1.04
769,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,16.73,0.308,0.42,23.91,23.53,1.8,13.52,118.17,55,1.09
770,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,45.21,0.399,0.57,19.13,18.4,2.41,9.16,102.39,111,1.05
771,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,21.71,0.287,0.08,19.66,25.8,2.27,13.38,40.32,66,1.03
772,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,18.41,0.395,0.47,24.44,26.76,2.6,15.43,98.77,61,1.07
773,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,1.05,0.468,0.06,29.9,26.19,1.22,15.35,3.99,58,1
774,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,33.12,0.369,0.53,18.56,NA,NA,NA,NA,NA,NA
775,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,56.39,0.318,0.46,23.18,22.76,1.93,11.64,NA,NA,NA
776,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,3.04,0.325,0.15,21.43,21.52,0.99,7.58,NA,NA,NA
777,Combretum molle,3,Nh,G1,Africa,Humid,Deciduous,1.83,0.314,NA,NA,21.76,1.2,10.77,NA,NA,NA
778,Combretum molle,3,Nh,G1,Africa,Humid,Deciduous,1.14,0.231,NA,NA,25.31,1.27,4.96,NA,NA,NA
780,Combretum molle,3,Nh,G1,Africa,Humid,Deciduous,0.59,0.275,NA,NA,20.48,1.43,7.27,NA,NA,NA
782,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,0.69,0.435,NA,NA,19.36,1.21,5.9,NA,NA,NA
783,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,0.73,0.358,NA,NA,12.44,0.79,4.05,NA,NA,NA
784,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,0.73,0.419,NA,NA,NA,NA,NA,NA,NA,NA
785,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,0.62,0.352,NA,NA,13.85,0.95,4.01,NA,NA,NA
787,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,3.02,0.36,NA,45.76,26.73,3.02,7.26,129.12,94,1.03
788,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,1.39,0.191,NA,43.34,29.07,1.83,11.87,NA,NA,NA
789,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,17.7,0.295,NA,24.95,25.26,2.27,9.28,135.7,79,1.07
790,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,7.24,0.321,NA,31.85,26.42,3.43,5.94,128.4,82,1.05
791,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,2.66,0.256,NA,37.82,27.07,2.9,9.12,212.77,108,1.05
792,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,0.74,0.34,NA,34.86,15.05,0.97,6.16,98.61,58,1.05
793,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,0.63,0.5,NA,26.22,13.29,0.8,5.1,6.24,17,1.01
794,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,0.66,0.513,NA,31.31,20.96,1.03,8.28,35.44,88,1.01
795,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,1.32,0.323,NA,NA,26.1,1.14,14.44,NA,43,1.06
796,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,0.69,0.453,NA,36.14,18.67,0.94,6.69,15.46,67,1.01
797,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,2.42,0.443,0.09,33.6,29.21,1.48,14.91,31.24,37,1.03
798,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,7.9,0.371,0.2,27.78,28.9,1.93,16.34,73.22,50,1.05
799,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,5.38,0.386,0.23,25.71,29.54,1.81,13.64,NA,NA,NA
800,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,3.23,0.464,0.16,32.52,32.24,1.71,19.79,59.53,64,1.03
801,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,2.51,0.501,NA,18.89,28.78,2.9,12.82,10.45,6,1.1
802,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,1.26,0.335,NA,27.89,36.75,3.73,14.91,79.09,16,1.19
803,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,1.92,0.408,NA,20.38,40.84,2.69,21.68,74.88,19.12,1.2
804,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,1.59,0.363,NA,24.27,NA,2.61,14.54,89.7,14.71,1.27
805,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,15.64,0.455,0.34,18.05,26.6,5.57,16.39,37.1,21,1.1
806,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,16.4,0.324,0.44,14.86,28.71,2.36,10.57,NA,NA,NA
807,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,8.81,0.407,0.35,19.06,26.18,2.54,10.33,50.55,20,1.14
808,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,23.82,0.472,0.5,13.42,22.12,1.39,10.48,13.08,11,1.09
809,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,23.47,0.297,0.48,15.26,23.16,1.35,10.36,16.26,7,1.17
810,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,9.17,0.673,0.17,15.7,24.25,0.99,12.74,52.8,9,1.41
811,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,9.59,0.668,0.21,16.34,25.1,0.89,15.54,30.41,3,1.9
812,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,13.55,0.532,0.35,17.77,25.64,0.99,11.74,56.08,20,1.16
813,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,12.37,0.529,0.31,16.11,22.85,0.95,10.8,88,46,1.12
814,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,14.2,0.497,0.33,15.65,20.89,1.22,11.47,87.05,31,1.18
815,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,48.01,0.369,0.47,11.16,NA,NA,NA,NA,NA,NA
816,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,30.01,0.371,0.47,10.82,NA,NA,NA,NA,NA,NA
817,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,47.3,0.304,0.56,12.18,NA,NA,NA,NA,NA,NA
