SCIENTIFICNAME,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Leionema,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema ambiens,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema bilobum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Leionema bilobum subsp. bilobum,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema bilobum subsp. serrulatum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Leionema bilobum subsp. thackerayense,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema bilobum subsp. truncatum,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema carruthersii,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema ceratogynum,shrub,dense,NA,NA,NA,NA,NA,NA
Leionema coxii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Leionema dentatum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Leionema diosmeum,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema elatius,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema elatius subsp. beckleri,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema elatius subsp. elatius,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema ellipticum,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema equestre,shrub,spreading,NA,NA,NA,NA,NA,NA
Leionema gracile,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema lachnaeoides,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema lamprophyllum,shrub,compact,NA,NA,NA,NA,NA,NA
Leionema microphyllum,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema montanum,shrub,decumbent compact,NA,NA,NA,NA,NA,NA
Leionema obtusifolium,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema oldfieldii,shrub,compact,NA,NA,NA,NA,NA,NA
Leionema phylicifolium,shrub,compact,NA,NA,NA,NA,NA,NA
Leionema ralstonii,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema rotundifolium,shrub,dense,NA,NA,NA,NA,NA,NA
Leionema scopulinum,shrub,erect,NA,NA,NA,NA,NA,NA
Leionema sympetalum,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema viridiflorum,shrub,NA,NA,NA,NA,NA,NA,NA
Lemmaphyllum,NA,NA,NA,NA,rhizome,NA,NA,NA
Lemmaphyllum accedens,NA,NA,NA,NA,rhizome,NA,NA,NA
Lemna,NA,NA,NA,NA,NA,NA,NA,NA
Lemna aequinoctialis,NA,spreading,NA,NA,NA,NA,NA,NA
Lemna disperma,NA,spreading,NA,NA,NA,NA,NA,NA
Lemna minor,NA,spreading,NA,NA,NA,NA,NA,NA
Lemna tenera,aquatic_submerged,spreading,NA,NA,NA,NA,NA,NA
Lemna trisulca,aquatic_submerged,NA,NA,NA,NA,NA,NA,NA
Araceae,aquatic,NA,NA,NA,NA,NA,NA,NA
Lentibulariaceae,aquatic_herb,NA,NA,annual perennial,NA,terrestrial aquatic,NA,NA
Leontodon,herb,NA,NA,annual perennial,NA,NA,NA,NA
Leontodon saxatilis,NA,NA,NA,perennial,NA,NA,NA,NA
Lepiderema,tree shrub,NA,NA,NA,NA,NA,monoecious,NA
Lepiderema hirsuta,tree,NA,NA,NA,NA,NA,NA,NA
Lepiderema ixiocarpa,tree,NA,NA,NA,NA,NA,NA,NA
Lepiderema largiflorens,tree,NA,NA,NA,NA,NA,NA,NA
Lepiderema pulchella,tree,NA,NA,NA,NA,NA,NA,NA
Lepiderema punctulata,tree,NA,NA,NA,NA,NA,NA,NA
Lepiderema sericolignis,tree,NA,NA,NA,NA,NA,NA,NA
Lepidium,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Lepidium africanum,herb,erect,NA,annual perennial,NA,NA,NA,NA
Lepidium amelum,shrub,erect,NA,perennial,NA,NA,NA,NA
Lepidium aschersonii,herb,erect,NA,perennial,NA,NA,NA,NA
Lepidium biplicatum,shrub,erect,NA,perennial,NA,NA,NA,NA
Lepidium bonariense,herb,NA,NA,annual biennial,NA,NA,NA,NA
Lepidium campestre,herb,NA,NA,annual biennial,NA,NA,NA,NA
Lepidium catapycnon,shrub herb,NA,NA,perennial,NA,NA,NA,NA
Lepidium coronopus,herb,prostrate,NA,annual biennial,NA,NA,NA,NA
Lepidium desvauxii,herb,NA,NA,perennial,NA,NA,NA,NA
Lepidium didymum,herb,prostrate,NA,annual perennial,NA,NA,NA,NA
Lepidium draba,herb,erect procumbent,NA,perennial,NA,NA,NA,NA
Lepidium drummondii,herb,NA,NA,annual,NA,NA,NA,NA
Lepidium echinatum,herb,prostrate spreading,NA,perennial,NA,NA,NA,woody_root
Lepidium englerianum,herb,prostrate decumbent,NA,perennial,NA,NA,NA,NA
Lepidium fasciculatum,herb,NA,NA,annual,NA,NA,NA,NA
Lepidium flexicaule,herb,NA,NA,perennial,rhizome,NA,NA,NA
Lepidium foliosum,shrub,NA,NA,perennial,NA,NA,NA,NA
Lepidium genistoides,shrub,dense,NA,perennial,NA,NA,NA,NA
Lepidium ginninderrense,herb,erect,NA,perennial,NA,NA,NA,NA
Lepidium howei-insulae,subshrub,NA,NA,perennial,NA,NA,NA,NA
Lepidium hypenantion,herb,erect,NA,annual,NA,NA,NA,NA
Lepidium hyssopifolium,herb,NA,NA,perennial,NA,NA,NA,NA
Lepidium latifolium,herb,stoloniferous erect,NA,perennial,stolon,NA,NA,NA
Lepidium leptopetalum,shrub,NA,NA,perennial,NA,NA,NA,NA
Lepidium linifolium,shrub,NA,NA,perennial,NA,NA,NA,NA
Lepidium lyratogynum,shrub,erect,NA,perennial,NA,NA,NA,NA
Lepidium merrallii,herb,erect spreading,NA,annual ephemeral,NA,NA,NA,NA
Lepidium monoplocoides,herb,erect,NA,annual,NA,NA,NA,NA
Lepidium muelleri-ferdinandi,herb,NA,NA,annual ephemeral,NA,NA,NA,NA
Lepidium nesophilum,subshrub herb,erect decumbent,NA,perennial,NA,NA,NA,NA
Lepidium oxytrichum,herb,NA,NA,annual ephemeral,NA,NA,NA,NA
Lepidium papillosum,herb,NA,NA,annual ephemeral,NA,NA,NA,NA
Lepidium pedicellosum,shrub,NA,NA,perennial,NA,NA,NA,NA
Lepidium peregrinum,subshrub herb,NA,NA,perennial,NA,NA,NA,NA
Lepidium perfoliatum,herb,NA,NA,annual biennial,NA,NA,NA,NA
Lepidium phlebopetalum,shrub,erect decumbent,NA,annual perennial,NA,NA,NA,NA
Lepidium pholidogynum,shrub herb,erect decumbent,NA,annual perennial,NA,NA,NA,NA
Lepidium platypetalum,shrub,NA,NA,perennial,NA,NA,NA,NA
Lepidium pseudohyssopifolium,herb,erect,NA,annual perennial,NA,NA,NA,NA
Lepidium pseudopapillosum,shrub,erect,NA,perennial,NA,NA,NA,NA
Lepidium pseudoruderale,herb,decumbent,NA,annual ephemeral,NA,NA,NA,NA
Lepidium pseudotasmanicum,subshrub herb,erect,NA,annual biennial,NA,NA,NA,NA
Lepidium puberulum,herb,NA,NA,annual,NA,NA,NA,NA
Lepidium rotundum,shrub,NA,NA,perennial,NA,NA,NA,NA
Lepidium sagittulatum,herb,NA,NA,annual,NA,NA,NA,NA
Lepidium sativum,herb,erect,NA,annual,NA,NA,NA,NA
Lepidium scandens,shrub,twining,NA,perennial,NA,NA,NA,NA
