find,dataset_id,replace,reason,taxonomic_resolution
Eriachne triseta Nees ex Steud.,Nano_2011,Eriachne triseta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Erigeron bonariensis L.,Nano_2011,Erigeron bonariensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriocaulon fistulosum R.Br. ex Sm.,Nano_2011,Eriocaulon fistulosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriocaulon pusillum Sol. ex R.Br.,Nano_2011,Eriocaulon pusillum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriochlamys eremaea N.G.Walsh,Nano_2011,Eriochlamys eremaea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriochloa procera (Retz.) C.E.Hubb.,Nano_2011,Eriochloa procera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriosema chinense Vogel,Nano_2011,Eriosema chinense,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Erodium angustilobum Carolin,Nano_2011,Erodium angustilobum,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Erodium aureum Carolin,Nano_2011,Erodium aureum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Erodium crinitum Carolin,Nano_2011,Erodium crinitum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Erodium cygnorum Nees,Nano_2011,Erodium cygnorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Erycibe coccinea (F.M.Bailey) Hoogland,Nano_2011,Erycibe coccinea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Erythrina variegata L. var. orientalis (L.) Merr.,Nano_2011,Erythrina variegata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Erythrina vespertilio Benth.,Nano_2011,Erythrina vespertilio,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Erythrophleum chlorostachys (F.Muell.) Baill.,Nano_2011,Erythrophleum chlorostachys,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Erythroxylum ellipticum R.Br.,Nano_2011,Erythroxylum ellipticum,match_10_fuzzy. Imprecise fuzzy alignment with accepted canonical name in APC (2023-06-18),Species
Eucalyptus bigalerita F.Muell.,Nano_2011,Eucalyptus bigalerita,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus brachyandra F.Muell.,Nano_2011,Eucalyptus brachyandra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus brevifolia F.Muell.,Nano_2011,Eucalyptus brevifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus camaldulensis Dehnh. subsp. obtusa (Blakely) Brooker & M.W.McDonald,Nano_2011,Eucalyptus camaldulensis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eucalyptus coolabah Blakely & Jacobs subsp. arida (Blakely) L.A.S.Johnson & K.D.Hill,Nano_2011,Eucalyptus coolabah,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eucalyptus gamophylla F.Muell.,Nano_2011,Eucalyptus gamophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus gigantangion L.A.S.Johnson & K.D.Hill,Nano_2011,Eucalyptus gigantangion,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus gillenii Ewart & L.R.Kerr,Nano_2011,Eucalyptus gillenii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus gongylocarpa Blakely,Nano_2011,Eucalyptus gongylocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus intertexta R.T.Baker,Nano_2011,Eucalyptus intertexta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus jensenii Maiden,Nano_2011,Eucalyptus jensenii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus leucophloia Brooker subsp. euroa L.A.S.Johnson & K.D.Hill,Nano_2011,Eucalyptus leucophloia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eucalyptus lucens Brooker & Dunlop,Nano_2011,Eucalyptus lucens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus mannensis Boomsma,Nano_2011,Eucalyptus mannensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus microtheca F.Muell.,Nano_2011,Eucalyptus microtheca,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus miniata A.Cunn. ex Schauer,Nano_2011,Eucalyptus miniata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus normantonensis Maiden & Cambage,Nano_2011,Eucalyptus normantonensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus odontocarpa F.Muell.,Nano_2011,Eucalyptus odontocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus oxymitra Blakely,Nano_2011,Eucalyptus oxymitra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus pachyphylla F.Muell.,Nano_2011,Eucalyptus pachyphylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus patellaris F.Muell.,Nano_2011,Eucalyptus patellaris,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus phoenicea F.Muell.,Nano_2011,Eucalyptus phoenicea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus sessilis (Maiden) Blakely,Nano_2011,Eucalyptus sessilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus socialis F.Muell. ex Miq. subsp. eucentrica (L.A.S.Johnson & K.D.Hill) Nicolle,Nano_2011,Eucalyptus socialis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eucalyptus tectifica F.Muell.,Nano_2011,Eucalyptus tectifica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus tetrodonta F.Muell.,Nano_2011,Eucalyptus tetrodonta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus thozetiana F.Muell. ex R.T.Baker,Nano_2011,Eucalyptus thozetiana,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eucalyptus tintinnans (Blakely & Jacobs) L.A.S.Johnson & K.D.Hill,Nano_2011,Eucalyptus tintinnans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eucalyptus trivalvis Blakely,Nano_2011,Eucalyptus trivalvis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Eucalyptus victrix L.A.S.Johnson & K.D.Hill,Nano_2011,Eucalyptus victrix,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euchiton sphaericus (Willd.) Anderb.,Nano_2011,Euchiton sphaericus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eulalia aurea (Bory) Kunth,Nano_2011,Eulalia aurea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eulalia mackinlayi (F.Muell. ex Benth.) Kuntze,Nano_2011,Eulalia mackinlayi,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia armstrongiana Boiss.,Nano_2011,Euphorbia armstrongiana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia biconvexa Domin,Nano_2011,Euphorbia biconvexa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia bifida Hook. & Arn.,Nano_2011,Euphorbia bifida,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia centralis B.G.Thomson,Nano_2011,Euphorbia centralis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia drummondii Boiss.,Nano_2011,Euphorbia drummondii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia hirta L.,Nano_2011,Euphorbia hirta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia muelleri Boiss.,Nano_2011,Euphorbia muelleri,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia sarcostemmoides J.H.Willis,Nano_2011,Euphorbia sarcostemmoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia schizolepis F.Muell. ex Boiss.,Nano_2011,Euphorbia schizolepis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia schultzii Benth.,Nano_2011,Euphorbia schultzii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Euphorbia stevenii Baill.,Nano_2011,Euphorbia stevenii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Euphorbia tannensis Spreng. subsp. eremophila (A.Cunn.) D.C.Hassall,Nano_2011,Euphorbia tannensis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Euphorbia wheeleri Baill.,Nano_2011,Euphorbia wheeleri,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Evolvulus alsinoides L. var. decumbens (R.Br.) Ooststr.,Nano_2011,Evolvulus alsinoides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Evolvulus alsinoides L. var. villosicalyx Ooststr.,Nano_2011,Evolvulus alsinoides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Excoecaria parvifolia Muell.Arg.,Nano_2011,Excoecaria parvifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Exocarpos latifolius R.Br.,Nano_2011,Exocarpos latifolius,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Exocarpos sparteus R.Br.,Nano_2011,Exocarpos sparteus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fatoua villosa (Murray) Nakai,Nano_2011,Fatoua villosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus adenosperma Miq.,Nano_2011,Ficus adenosperma,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus benjamina L.,Nano_2011,Ficus benjamina,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus brachypoda (Miq.) Miq.,Nano_2011,Ficus brachypoda,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus carpentariensis D.J.Dixon,Nano_2011,Ficus carpentariensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus cerasicarpa D.J.Dixon,Nano_2011,Ficus cerasicarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus congesta Roxb.,Nano_2011,Ficus congesta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus coronulata Miq.,Nano_2011,Ficus coronulata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus henneana Miq.,Nano_2011,Ficus henneana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus hispida L.f.,Nano_2011,Ficus hispida,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus platypoda (Miq.) Miq.,Nano_2011,Ficus platypoda var. minor,match_13_fuzzy. Fuzzy match alignment with infraspecific canonical name in APC known when notes are ignored (2023-06-18),Varietas
Ficus racemosa L.,Nano_2011,Ficus racemosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus scobina Benth.,Nano_2011,Ficus scobina,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ficus subpuberula Corner,Nano_2011,Ficus subpuberula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis acicularis R.Br.,Nano_2011,Fimbristylis acicularis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis ammobia Latz,Nano_2011,Fimbristylis ammobia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis arnhemensis Latz,Nano_2011,Fimbristylis arnhemensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis caespitosa R.Br.,Nano_2011,Fimbristylis caespitosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis caloptera Latz,Nano_2011,Fimbristylis caloptera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis cinnamometorum (Vahl) Kunth,Nano_2011,Fimbristylis cinnamometorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis complanata (Retz.) Link,Nano_2011,Fimbristylis complanata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Fimbristylis densa S.T.Blake,Nano_2011,Fimbristylis densa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
