name_original,raw_trait_value,trait,units
Syzygium booje,8181.2309,volume seed,mm3
Syzygium rubrimolle,8513.3888,volume seed,mm3
Crudia papuana,9817.477,volume seed,mm3
Syzygium kuranda,10308.3509,volume seed,mm3
Syzygium cormiflorum,12120.8535,volume seed,mm3
Syzygium bamagense,12770.0505,volume seed,mm3
Syzygium mootei,12796.875,volume seed,mm3
Syzygium bleerseri,14137.1669,volume seed,mm3
Syzygium puberulum,14137.1669,volume seed,mm3
Syzygium sharmae,14137.1669,volume seed,mm3
Milletia megasperma,17631.518,volume seed,mm3
Syzygium bungadinnia,20943.951,volume seed,mm3
Castanospermum australe,21127.68,volume seed,mm3
Acmena divaricata,22449.2975,volume seed,mm3
Acmena graveolens,22449.2975,volume seed,mm3
Amorphospermum antilogum,23108.4,volume seed,mm3
Omphalea queenslandiae,23443.1705,volume seed,mm3
Amorphospermum whitei,33474.168,volume seed,mm3
Syzygium suborbiculare,40194.3873,volume seed,mm3
Endiandra globosa,56238.3,volume seed,mm3
Syzygium gustavioides,65449.847,volume seed,mm3
Aleurites moluccana,93538.5685,volume seed,mm3
Acaena montanum,achene,fruit type,CATEGORICAL
Atriplex inflata,achene,fruit type,CATEGORICAL
Atriplex lindleyi,achene,fruit type,CATEGORICAL
Atriplex nummularia,achene,fruit type,CATEGORICAL
Atriplex spongiosa,achene,fruit type,CATEGORICAL
Atriplex spongiosa v. holocarps,achene,fruit type,CATEGORICAL
Clematis glycinoides,achene,fruit type,CATEGORICAL
Dysphania myriocephala,achene,fruit type,CATEGORICAL
Eupomatia laurina,achene,fruit type,CATEGORICAL
Ficus macrophylla,achene,fruit type,CATEGORICAL
Ficus platypoda,achene,fruit type,CATEGORICAL
Ranunculus sessiliflorus,achene,fruit type,CATEGORICAL
Holosarcia indica,achnene,fruit type,CATEGORICAL
Boerhaavia diffusa,anthocarp/nut,fruit type,CATEGORICAL
Pisonia grandis,anthocarp/viscid,fruit type,CATEGORICAL
Abrophyllum ornans,berry,fruit type,CATEGORICAL
Acmena brachyandra,berry,fruit type,CATEGORICAL
Acmena divaricata,berry,fruit type,CATEGORICAL
Acmena graveolens,berry,fruit type,CATEGORICAL
Acmena hemilampra,berry,fruit type,CATEGORICAL
Acmena mackinoniana,berry,fruit type,CATEGORICAL
Acmena resa,berry,fruit type,CATEGORICAL
Acmena smithii,berry,fruit type,CATEGORICAL
Alpinia caerulea,berry,fruit type,CATEGORICAL
Alyxia ruscifolia,berry,fruit type,CATEGORICAL
