Original Taxonomic Concept,Species,Family,locality,life_history,"Height range at maturity (cm), Minimum",plant_height_maximum,"Diameter of crown (cm), 0–5","Diameter of crown (cm), 5–20","Diameter of crown (cm), 20–50","Diameter of crown (cm), 50–100","Diameter of crown (cm), 100–200","Diameter of crown (cm), >200","Canopy density, Dense","Canopy density, Intermediate","Canopy density, Sparse","Canopy density, None","Canopy elevation (cm), 0–20","Canopy elevation (cm), 20–50","Canopy elevation (cm), 50–100","Canopy elevation (cm), >100","Above-ground stem/stalk, None","Above-ground stem/stalk, Single","Above-ground stem/stalk, Multiple",stem_growth_habit,plant_climbing_mechanism,woodiness_detailed,plant_succulence,photosynthetic Flower stalk,plant_photosynthetic_organ,leaf_lamina_posture,leaf xs Terete,leaf xs Triangular,leaf xs Rectangular,leaf_compoundness,"Linear like (Tubular, Needle-like, Filiform, Linear)",Elliptical & Lanceolate,Orbicular,leaf_margin,leaf_lobation,leaf_margin_posture,leaf_hairs_adult_leaves,leaf_glaucousness_adaxial,leaf_glaucousness_abaxial,"Part protected by spines, None","Part protected by spines, Leaf","Part protected by spines, Stem","Part protected by spines, Branch","Part protected by spines, Fruit",plant_physical_defence_structures,"Root morphology, Bulb","Root morphology, Stilt",nitrogen_fixing,plant_alternative_energy_and_nutrient_acquisition_strategy,parasitic,flowering_time,fruit_fleshiness,resprouting_capacity,mycorrhizal_associations,photosynthetic_pathway,Microbial association
,Schoenus odontocarpus,Cyperaceae,Cooljarloo,,2,9.5,1,,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Schoenus pedicellatus,Cyperaceae,Eneabba & Cooljarloo,perennial,30,45,,1,1,,,,1,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNYYYYYYYY,dry,resprouts,,C3,1
,Schoenus pleiostemoneus,Cyperaceae,Eneabba & Cooljarloo,perennial,6,30,1,1,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,resprouts,,C3,1
,Schoenus plumosus,Cyperaceae,Eneabba,,7,18,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Schoenus rigens,Cyperaceae,Eneabba & Cooljarloo,perennial,20,60,,,1,,,,1,,,,1,,,,,,1,erect decumbent,,herbaceous,,1,leaf,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,resprouts,,C3,1
,Schoenus sculptus,Cyperaceae,Cooljarloo,,2,10,1,,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Schoenus sesquispiculus,Cyperaceae,Cooljarloo,perennial,8,20,,1,,,,,1,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Schoenus sp. A3 ciliate sheaths (K.R. Newbey 9402),Cyperaceae,Eneabba,perennial,20,40,,,1,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNNNNYY,dry,resprouts,,C3,1
,Schoenus sp. Eneabba (F. Obbens & C. Godden I154),Cyperaceae,Eneabba,perennial,40,75,,,1,1,,,1,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYNNNYYYNN,dry,resprouts,,C3,1
,Schoenus sp. smooth culms (K.R. Newbey 7823),Cyperaceae,Cooljarloo,perennial,10,50,,1,1,,,,1,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNYYYYYYYY,dry,resprouts,,C3,1
,Schoenus subfascicularis,Cyperaceae,Eneabba & Cooljarloo,perennial,30,100,,,1,1,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNYYYYYYYY,dry,resprouts,,C3,1
,Schoenus subflavus subsp. subflavus,Cyperaceae,Eneabba,perennial,5,30,,1,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,,C3,1
,Schoenus unispiculatus,Cyperaceae,Eneabba & Cooljarloo,perennial,10,45,1,1,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Schoenus variicellae,Cyperaceae,Cooljarloo,,3,16,1,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Scholtzia involucrata,Myrtaceae,Eneabba & Cooljarloo,perennial,20,150,,,1,1,1,,,1,,,1,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Scholtzia laxiflora,Myrtaceae,Eneabba & Cooljarloo,perennial,30,200,,,1,1,1,1,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
Scholtzia leptantha,Scholtzia obovata,Myrtaceae,Cooljarloo,perennial,50,200,,,1,1,1,,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Scholtzia parviflora,Myrtaceae,Eneabba,perennial,100,300,,,,1,1,1,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
Scholtzia sp. Eneabba (S. Maley 8),Scholtzia trilocularis,Myrtaceae,Eneabba,perennial,40,200,,,1,1,1,1,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
Scholtzia sp. Winchester (C. Chapman s.n. Perth 05625386),Scholtzia chapmanii,Myrtaceae,Eneabba,perennial,15,30,,,,1,1,,,1,,,1,1,0,0,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Scholtzia sp. Wongonderrah (M.E. & M.R. Trudgen MET 12000),Myrtaceae,Eneabba & Cooljarloo,perennial,120,300,,,,,1,,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Scholtzia teretifolia,Myrtaceae,Eneabba,perennial,10,20,,1,,,,,,1,,,1,1,0,0,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Scholtzia umbellifera,Myrtaceae,Eneabba & Cooljarloo,perennial,40,200,,,1,1,1,1,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Secale cereale,Poaceae,Eneabba,,60,150,1,1,1,,,,,1,,,1,,,,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Selaginella gracillima,Selaginellaceae,Cooljarloo,,1.5,9,1,,,,,,,,1,,1,,,,,1,,erect,,herbaceous,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Senecio lacustrinus,Asteraceae,Cooljarloo,,5,80,,1,1,,,,,1,1,,1,1,1,,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simplecompound,1,1,,entire toothed,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Senecio pinnatifolius var. latilobus,Asteraceae,Cooljarloo,,15,60,1,1,1,,,,,1,,,1,1,,,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simplecompound,1,,,entire,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Seringia hermanniifolia,Malvaceae,Eneabba,perennial,30,100,,,1,1,,,,1,,,0,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Silene gallica var. gallica,Caryophyllaceae,Cooljarloo,,10,50,,1,,,,,,,1,,,1,,,,1,,erect,,herbaceous,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Siloxerus filifolius,Asteraceae,Eneabba,,1,6.5,1,,,,,,,1,,,1,,,,,,1,erect prostrate decumbent,,herbaceous,,1,leaf,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Siloxerus humifusus,Asteraceae,Eneabba & Cooljarloo,,1,15,1,1,,,,,,1,,,1,,,,,,1,erect prostrate decumbent,,herbaceous,,1,leaf,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Solanum nigrum,Solanaceae,Eneabba & Cooljarloo,,30,100,,1,1,,,,,1,,,1,,,,,1,,erect,,herbaceous,,,leaf,flat,,,,simple,,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,fleshy,,arbuscular_mycorrhizal,C3,
,Solanum oldfieldii,Solanaceae,Eneabba,perennial,30,100,,1,1,,,,1,,,,1,1,,,,,1,erect,,woody_base,,,leaf cladode,flat conduplicate,,,,simple,,1,,entire,,,hairy,not_glaucous,not_glaucous,,,thorn,,,thorn,,,,,not_parasitic,NNNNYYYYYYNN,fleshy,,arbuscular_mycorrhizal,C3,
,Solanum symonii,Solanaceae,Cooljarloo,perennial,70,200,,,1,1,,,,1,,,1,1,1,1,,,1,erect,,woody_base,,,leaf cladode,flat,,,,simple,,1,,entire,lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,fleshy,,arbuscular_mycorrhizal,C3,
,Sonchus asper,Asteraceae,Eneabba,,5,200,1,1,1,1,,,,1,,,1,1,1,1,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,,1,,toothed,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Sonchus hydrophilus,Asteraceae,Cooljarloo,perennial,50,180,,,1,1,,,,1,,,1,1,1,1,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,,1,,toothed,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Sonchus oleraceus,Asteraceae,Eneabba & Cooljarloo,,8,180,1,1,1,1,,,,1,,,1,1,1,1,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,,1,,entire toothed,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Sowerbaea laxiflora,Asparagaceae,Eneabba & Cooljarloo,perennial,15,45,1,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,1,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Spergularia diandra,Caryophyllaceae,Eneabba,,5,20,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Spergularia marina,Caryophyllaceae,Eneabba & Cooljarloo,,5,15,,1,,,,,,,1,,1,,,,,,1,decumbent,,herbaceous,,,leaf cladode,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Spergularia rubra,Caryophyllaceae,Eneabba,,5,30,,1,,,,,,,1,,1,,,,,,1,erect prostrate,,herbaceous,,,leaf cladode,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,,C3,1
,Sphaerolobium drummondii,Fabaceae,Eneabba & Cooljarloo,perennial,15,100,,1,1,,,,,1,,,1,1,1,,,1,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Sphaerolobium gracile,Fabaceae,Eneabba & Cooljarloo,perennial,5,80,,1,1,,,,,1,,,1,1,1,,,1,1,prostrate,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Sphaerolobium linophyllum,Fabaceae,Eneabba & Cooljarloo,perennial,10,25,,1,1,,,,,,1,,1,1,,,,,1,erect prostrate,,woody,,,leaf cladode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Sphaerolobium macranthum,Fabaceae,Eneabba,perennial,25,80,,1,1,,,,,1,,,1,1,1,,,1,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Sphaerolobium medium,Fabaceae,Eneabba & Cooljarloo,perennial,10,60,,1,1,,,,,1,,,1,1,1,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Sphaerolobium pulchellum,Fabaceae,Eneabba,perennial,10,30,,1,1,,,,,1,,,1,1,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Spyridium globulosum,Rhamnaceae,Cooljarloo,perennial,30,500,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stachystemon axillaris,Euphorbiaceae,Eneabba & Cooljarloo,perennial,25,120,,,1,,,,,1,,,1,,,,,1,,erect,,woody,,,leaf,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Stackhousia dielsii,Celastraceae,Eneabba,perennial,20,55,,,1,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf cladode,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stackhousia monogyna,Celastraceae,Eneabba & Cooljarloo,perennial,10,70,,,,,1,,,,1,,,1,,,,,1,erect,,herbaceous,,1,leaf cladode,flat,,,,simple,1,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stawellia dimorphantha,Hemerocallidaceae,Eneabba,perennial,5,20,1,1,,,,,,,1,,1,1,0,0,,,1,erect prostrate,,herbaceous,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,1,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stellaria media,Caryophyllaceae,Eneabba,,1,20,,,1,,,,,,1,,1,,,,,,1,decumbent,,herbaceous,,,leaf cladode,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,,C3,1
,Stenanthemum humile,Rhamnaceae,Eneabba & Cooljarloo,perennial,5,15,1,1,,,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stenanthemum limitatum,Rhamnaceae,Eneabba,perennial,15,100,1,1,1,,,,,1,1,,1,,,,,,1,erect decumbent,,woody,,,leaf,conduplicate,,,,simple,,,1,entire toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stenanthemum notiale subsp. chamelum,Rhamnaceae,Eneabba & Cooljarloo,perennial,10,15,1,1,,,,,,,1,,1,,,,,,1,prostrate,,woody,,,leaf,conduplicate,,,,simple,,,1,entire toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Stenanthemum notiale subsp. notiale,Rhamnaceae,Eneabba & Cooljarloo,perennial,10,60,1,1,1,,,,,,1,,1,1,,,,,1,erect decumbent,,woody,,,leaf,flat conduplicate,,,,simple,,,1,entire toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Stenanthemum sublineare,Rhamnaceae,Cooljarloo,perennial,5,10,1,1,,,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,1,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stenopetalum gracile,Brassicaceae,Cooljarloo,,10,40,,1,1,,,,,1,1,,1,1,,,,1,,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,lobed_deep lobed,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Stirlingia abrotanoides,Proteaceae,Eneabba & Cooljarloo,perennial,25,60,,1,1,,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,flat,1,,,simple,1,,,entire,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Stirlingia latifolia,Proteaceae,Eneabba & Cooljarloo,perennial,20,150,,,1,1,,,,1,,,1,1,,,,,1,erect,,woody,,,leaf,flat,1,,,simple,1,,,entire,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Stirlingia simplex,Proteaceae,Eneabba,perennial,10,60,,1,1,,,,1,1,,,1,,,,,,1,erect,,woody,,,leaf,flat,1,,,simple,1,,,entire,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Strangea cynanchicarpa,Proteaceae,Eneabba,perennial,30,150,,,1,1,1,,1,1,,,,1,1,1,,,1,prostrate,,woody,,,leaf,flat,,,,simple,1,1,,entire toothed,,,glabrous,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNNNNYY,dry,resprouts,,C3,1
,Stylidium adpressum,Stylidiaceae,Eneabba & Cooljarloo,perennial,5,8,1,1,,,,,,,1,,1,,,,,,1,erect decumbent,,herbaceous,,,leaf,flat,1,,,simple,,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,1,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stylidium aeonioides,Stylidiaceae,Eneabba,perennial,5,40,1,,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stylidium albolilacinum,Stylidiaceae,Eneabba,perennial,10,36,1,,,,,,,,1,,1,,,,,1,,erect,,herbaceous,,,leaf,,1,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,1,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stylidium araeophyllum,Stylidiaceae,Cooljarloo,perennial,20,75,1,1,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,glaucous,absent,,,,,absent,,1,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stylidium bicolor,Stylidiaceae,Eneabba & Cooljarloo,perennial,10,40,1,,,,,,1,,,,1,,,,,1,,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stylidium brunonianum,Stylidiaceae,Cooljarloo,perennial,20,70,1,1,,,,,,1,,,1,1,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Stylidium burbidgeanum,Stylidiaceae,Eneabba,perennial,8,15,1,,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,,leaf,,1,,,simple,1,,,toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,1,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stylidium calcaratum,Stylidiaceae,Eneabba & Cooljarloo,,8,20,1,,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,,1,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Stylidium carnosum,Stylidiaceae,Eneabba,perennial,30,100,1,1,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,,leaf,flat,,,,simple,,1,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,1,,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stylidium crossocephalum,Stylidiaceae,Eneabba & Cooljarloo,perennial,8,36,,1,,,,,,1,,,1,,,,,1,,erect,,woody_base,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,1,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stylidium cygnorum,Stylidiaceae,Eneabba & Cooljarloo,perennial,5,10,1,1,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,,leaf,,1,,,simple,,1,,toothed,,,glabrous,not_glaucous,not_glaucous,,,,,,,,1,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stylidium dichotomum,Stylidiaceae,Eneabba & Cooljarloo,perennial,10,30,1,1,,,,,,1,,,1,,,,,,1,erect decumbent,,herbaceous,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,1,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Stylidium diuroides subsp. diuroides,Stylidiaceae,Eneabba & Cooljarloo,perennial,10,30,1,,,,,,,,1,,1,,,,,1,,erect,,herbaceous,,1,leaf,,1,1,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
